Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.28417,  0.19339,  1.81804
1, validation, -3.18790,  0.23885,  1.80774
2, train, -3.04759,  0.22461,  1.74919
2, validation, -3.10360,  0.23307,  1.81858
3, train, -2.98236,  0.24994,  1.74426
3, validation, -3.07738,  0.27664,  1.80040
4, train, -2.95848,  0.27231,  1.73504
4, validation, -3.06056,  0.29501,  1.79361
5, train, -2.93857,  0.27600,  1.72854
5, validation, -3.04898,  0.29869,  1.78758
6, train, -2.92063,  0.28830,  1.71536
6, validation, -3.04277,  0.31601,  1.78952
7, train, -2.90434,  0.32358,  1.70945
7, validation, -3.03157,  0.34068,  1.78492
8, train, -2.89401,  0.33120,  1.71046
8, validation, -3.02292,  0.33386,  1.78536
9, train, -2.87934,  0.32936,  1.70527
9, validation, -3.01283,  0.35066,  1.78399
10, train, -2.86333,  0.36120,  1.70044
10, validation, -2.99395,  0.37060,  1.78289
11, train, -2.84194,  0.37460,  1.69771
11, validation, -2.98297,  0.37428,  1.78479
12, train, -2.82484,  0.37780,  1.69356
12, validation, -2.96064,  0.37113,  1.78250
13, train, -2.80583,  0.37964,  1.69219
13, validation, -2.95252,  0.37690,  1.78603
14, train, -2.78434,  0.38603,  1.68987
14, validation, -2.93037,  0.37585,  1.78571
15, train, -2.77465,  0.38456,  1.69407
15, validation, -2.92765,  0.38215,  1.79085
16, train, -2.74558,  0.38911,  1.68284
16, validation, -2.89969,  0.38425,  1.78395
17, train, -2.72975,  0.39169,  1.68339
17, validation, -2.90575,  0.39160,  1.78796
18, train, -2.71035,  0.39046,  1.67888
18, validation, -2.88718,  0.38530,  1.78661
19, train, -2.70038,  0.39452,  1.67836
19, validation, -2.90411,  0.38583,  1.78836
20, train, -2.68896,  0.39833,  1.67579
20, validation, -2.87526,  0.39160,  1.78313
21, train, -2.67696,  0.39759,  1.67138
21, validation, -2.88893,  0.39160,  1.78627
22, train, -2.67560,  0.39698,  1.67298
22, validation, -2.87586,  0.39318,  1.78449
23, train, -2.66901,  0.40091,  1.67127
23, validation, -2.87980,  0.39318,  1.78563
24, train, -2.66625,  0.40091,  1.67028
24, validation, -2.88047,  0.39108,  1.78686
25, train, -2.65831,  0.40202,  1.66716
25, validation, -2.87987,  0.39318,  1.78688
