Epoch, Log-likelihood, Accuracy, Top-3, Macro-F1, RMSE
1,  0.00000,  0.16918,  0.45272,  0.14533,  0.00000
2,  0.00000,  0.19285,  0.49354,  0.18643,  0.00000
3,  0.00000,  0.20918,  0.50759,  0.20192,  0.00000
4,  0.00000,  0.21823,  0.53930,  0.20753,  0.00000
5,  0.00000,  0.22861,  0.56816,  0.22217,  0.00000
6,  0.00000,  0.25076,  0.58437,  0.24805,  0.00000
7,  0.00000,  0.26867,  0.61082,  0.26805,  0.00000
8,  0.00000,  0.27677,  0.62468,  0.27542,  0.00000
9,  0.00000,  0.28804,  0.64000,  0.28441,  0.00000
10,  0.00000,  0.30759,  0.66475,  0.30711,  0.00000
11,  0.00000,  0.33582,  0.68108,  0.33534,  0.00000
12,  0.00000,  0.34405,  0.69367,  0.34003,  0.00000
13,  0.00000,  0.36430,  0.70766,  0.36247,  0.00000
14,  0.00000,  0.36791,  0.71108,  0.36812,  0.00000
15,  0.00000,  0.38582,  0.72297,  0.38459,  0.00000
16,  0.00000,  0.39418,  0.72677,  0.39383,  0.00000
17,  0.00000,  0.40253,  0.73120,  0.40205,  0.00000
18,  0.00000,  0.40646,  0.73247,  0.40621,  0.00000
19,  0.00000,  0.40481,  0.73329,  0.40488,  0.00000
20,  0.00000,  0.41513,  0.73671,  0.41528,  0.00000
21,  0.00000,  0.41563,  0.73848,  0.41495,  0.00000
22,  0.00000,  0.41816,  0.73930,  0.41820,  0.00000
23,  0.00000,  0.42481,  0.74076,  0.42471,  0.00000
24,  0.00000,  0.42411,  0.73886,  0.42428,  0.00000
25,  0.00000,  0.42386,  0.73930,  0.42375,  0.00000
26,  0.00000,  0.42918,  0.73842,  0.42916,  0.00000
27,  0.00000,  0.42608,  0.73709,  0.42585,  0.00000
28,  0.00000,  0.42443,  0.73797,  0.42408,  0.00000
29,  0.00000,  0.42601,  0.73741,  0.42576,  0.00000
30,  0.00000,  0.43076,  0.73848,  0.43064,  0.00000
31,  0.00000,  0.42709,  0.73854,  0.42670,  0.00000
32,  0.00000,  0.42968,  0.73652,  0.42957,  0.00000
33,  0.00000,  0.43070,  0.73734,  0.43079,  0.00000
34,  0.00000,  0.42734,  0.73690,  0.42695,  0.00000
35,  0.00000,  0.42589,  0.73557,  0.42564,  0.00000
36,  0.00000,  0.42842,  0.73639,  0.42844,  0.00000
37,  0.00000,  0.42677,  0.73500,  0.42650,  0.00000
38,  0.00000,  0.42487,  0.73595,  0.42488,  0.00000
39,  0.00000,  0.42703,  0.73462,  0.42698,  0.00000
40,  0.00000,  0.42291,  0.73127,  0.42238,  0.00000
41,  0.00000,  0.42253,  0.73152,  0.42263,  0.00000
42,  0.00000,  0.41981,  0.73070,  0.41940,  0.00000
