Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.83681,  0.07052,  2.02504
1, validation, -3.81437,  0.06161,  2.07096
2, train, -3.72825,  0.15651,  2.03095
2, validation, -3.71289,  0.23756,  2.06973
3, train, -3.63509,  0.23206,  2.02920
3, validation, -3.61557,  0.23756,  2.06686
4, train, -3.54372,  0.23206,  2.02620
4, validation, -3.52531,  0.23756,  2.06684
5, train, -3.46532,  0.23243,  2.02692
5, validation, -3.44677,  0.23706,  2.06738
6, train, -3.39659,  0.23133,  2.02712
6, validation, -3.38427,  0.23706,  2.06694
7, train, -3.34580,  0.22973,  2.02662
7, validation, -3.33673,  0.23756,  2.06688
8, train, -3.30723,  0.23268,  2.02658
8, validation, -3.30240,  0.23756,  2.06713
9, train, -3.28144,  0.23219,  2.02669
9, validation, -3.27775,  0.23756,  2.06684
10, train, -3.26522,  0.23194,  2.02519
10, validation, -3.26263,  0.23756,  2.06634
11, train, -3.25704,  0.23206,  2.02376
11, validation, -3.25523,  0.23756,  2.06610
12, train, -3.25460,  0.23231,  2.02267
12, validation, -3.25325,  0.23756,  2.06592
13, train, -3.25461,  0.23206,  2.02116
13, validation, -3.25318,  0.23756,  2.06905
14, train, -3.25390,  0.23206,  2.02068
14, validation, -3.25240,  0.23756,  2.06723
15, train, -3.25216,  0.23206,  2.01974
15, validation, -3.25132,  0.23756,  2.06742
16, train, -3.24937,  0.23206,  2.01710
16, validation, -3.25164,  0.23756,  2.07015
17, train, -3.24690,  0.23206,  2.01552
17, validation, -3.25048,  0.23756,  2.06872
18, train, -3.24473,  0.23206,  2.01418
18, validation, -3.24880,  0.23756,  2.06726
19, train, -3.24293,  0.23170,  2.01226
19, validation, -3.24889,  0.23756,  2.06844
20, train, -3.24051,  0.23194,  2.01149
20, validation, -3.24778,  0.23756,  2.06782
