Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -4.26659,  0.26667,  2.06403
1, validation, -4.21647,  0.26667,  2.05852
2, train, -4.23472,  0.26667,  2.05616
2, validation, -4.18827,  0.26667,  2.05023
3, train, -4.20317,  0.26667,  2.05219
3, validation, -4.16096,  0.26667,  2.04222
4, train, -4.17488,  0.26667,  2.04846
4, validation, -4.13451,  0.26667,  2.03442
5, train, -4.14627,  0.26667,  2.03433
5, validation, -4.10881,  0.26667,  2.02681
6, train, -4.11625,  0.26667,  2.02968
6, validation, -4.08370,  0.26667,  2.01929
7, train, -4.11021,  0.26667,  2.02078
7, validation, -4.05910,  0.33333,  2.01211
8, train, -4.07326,  0.33333,  2.01662
8, validation, -4.03482,  0.33333,  2.00554
9, train, -4.04636,  0.33333,  2.00877
9, validation, -4.01080,  0.33333,  1.99965
10, train, -4.03705,  0.33333,  2.00382
10, validation, -3.98702,  0.33333,  1.99464
11, train, -3.99770,  0.33333,  1.99801
11, validation, -3.96350,  0.33333,  1.99052
12, train, -3.97708,  0.33333,  1.99489
12, validation, -3.94032,  0.33333,  1.98728
13, train, -3.94997,  0.33333,  1.98970
13, validation, -3.91760,  0.33333,  1.98466
14, train, -3.92639,  0.33333,  1.98885
14, validation, -3.89535,  0.33333,  1.98247
15, train, -3.90210,  0.33333,  1.98519
15, validation, -3.87371,  0.33333,  1.98046
16, train, -3.87817,  0.33333,  1.97671
16, validation, -3.85272,  0.33333,  1.97847
17, train, -3.86448,  0.33333,  1.98082
17, validation, -3.83246,  0.33333,  1.97641
18, train, -3.84270,  0.33333,  1.97791
18, validation, -3.81296,  0.33333,  1.97423
19, train, -3.82220,  0.33333,  1.97376
19, validation, -3.79426,  0.33333,  1.97194
20, train, -3.81603,  0.33333,  1.98176
20, validation, -3.77639,  0.33333,  1.96952
