Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -4.05870,  0.07220,  2.21573
1, validation, -3.89080,  0.05676,  2.04688
2, train, -3.95298,  0.14868,  2.21420
2, validation, -3.78127,  0.24309,  2.05111
3, train, -3.84989,  0.22417,  2.21411
3, validation, -3.67274,  0.24360,  2.05187
4, train, -3.75163,  0.22369,  2.21311
4, validation, -3.56935,  0.23757,  2.04896
5, train, -3.66458,  0.22149,  2.21260
5, validation, -3.48100,  0.23757,  2.04780
6, train, -3.59303,  0.22283,  2.21211
6, validation, -3.41232,  0.24360,  2.05042
7, train, -3.54454,  0.22515,  2.21172
7, validation, -3.36051,  0.24309,  2.05035
8, train, -3.50767,  0.22417,  2.21115
8, validation, -3.32551,  0.24259,  2.04919
9, train, -3.48716,  0.22491,  2.21038
9, validation, -3.30428,  0.24309,  2.04369
10, train, -3.47588,  0.22478,  2.20937
10, validation, -3.29389,  0.24309,  2.04292
11, train, -3.46770,  0.22478,  2.20851
11, validation, -3.29107,  0.24309,  2.04301
12, train, -3.46291,  0.22491,  2.20750
12, validation, -3.28931,  0.24309,  2.04123
13, train, -3.45876,  0.22491,  2.20706
13, validation, -3.28636,  0.24309,  2.03985
14, train, -3.45499,  0.22491,  2.20587
14, validation, -3.28365,  0.24309,  2.04127
15, train, -3.44993,  0.22491,  2.20529
15, validation, -3.28155,  0.24309,  2.04235
16, train, -3.44512,  0.22491,  2.20440
16, validation, -3.27771,  0.24309,  2.03835
17, train, -3.44155,  0.22491,  2.20386
17, validation, -3.27434,  0.24309,  2.03667
18, train, -3.43813,  0.22491,  2.20292
18, validation, -3.27249,  0.24309,  2.03871
19, train, -3.43496,  0.22491,  2.20239
19, validation, -3.27152,  0.24309,  2.03847
20, train, -3.43259,  0.22491,  2.20166
20, validation, -3.27066,  0.24309,  2.03793
