checkpoint,checkpoint_sha256,checkpoint_task,episodic_bytes,episodic_rows,history_epochs,leaf_count,leaf_ids,max_depth,mean_leaf_depth,memory_rows,merge_count,nise,node_count,prune_count,semantic_bytes,split_count
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,c35f4221858b1b4772ced8b47468755a0c926f17b545d427a5fe64bb0659cd98,0,190539,12,12,1,"[""root""]",0,0.0,12,0,,1,0,1692,0
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,1469fac66e288716b80aece7af4fa6b8fbb0955c326cac721349f9c0fca31a92,1,418450,36,29,1,"[""root""]",0,0.0,36,2,,1,0,1692,2
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,52cf29c9eb1df1af17895c347947c5b9e2017a21aa8a30c2f9bd6a991dc0d703,2,634076,60,59,1,"[""root""]",0,0.0,60,3,,1,0,1692,3
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,32af4a3cfc2bc3caab349a97ed4c7081a1bf882225991bf9f4aae5d458f73adf,3,767484,76,76,1,"[""root""]",0,0.0,76,4,,1,0,1692,6
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,bc0e9cbc63f3151691f256ce4671a31a6df67140b88c9747df197fadbe7e5216,4,1171844,120,104,1,"[""root""]",0,0.0,120,4,,1,1,1692,9
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,4004830e7ecd483db98c171dfdc90b7e02c088f89e54d22dec727be790410515,5,1348692,144,114,1,"[""root""]",0,0.0,144,6,,1,1,1692,12
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,2496c7447a71cbf037bed8deea12a7364b6db3e8c98e112ad02334df5bc3871a,6,383632,36,144,1,"[""root""]",0,0.0,36,7,,1,1,1692,13
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,0e300fa4746dcfb678189e04a829c5bede52919f43c7e2126581661652d38138,7,610584,60,160,3,"[""root_L_L"", ""root_L_R"", ""root_R""]",2,1.6666666666666667,60,8,,5,1,3868,16
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,6cf489ab89d3fe7fd219270ca79f3853265c8e92335d2b7f3371c8e684d1fc1f,8,636696,60,163,3,"[""root_L_L"", ""root_L_R"", ""root_R""]",2,1.6666666666666667,60,10,,5,1,3868,18
/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,574a98f7a230b5597122c596dee359f63ced7207ddde47a8d5434c24f10cfc4b,9,1058876,108,193,2,"[""root_L"", ""root_R""]",1,1.0,108,12,,3,3,2780,21
