task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,,3.05439406314016,3.519975469597373,initial,,"[""A_1""]",,,False,excluded_not_unseen_law_task
1,3.8718059145171067,3.3357911237811675,3.5755848354763455,novel,,"[""B_1""]",0.5360147907359392,-0.2962210790407611,True,available
2,3.0610293886294264,2.5553808750449307,3.140388124172131,novel,,"[""C_1""]",0.5056485135844957,0.07935873554270456,True,available
3,3.45134882049271,3.086482371958202,3.478647185005318,exact_recurrence,A_1,[],0.3648664485345079,,False,excluded_not_unseen_law_task
4,3.442471366484763,2.9011265492025142,3.3604000006360986,near_recurrence,B_1,"[""B_prime_1""]",0.5413448172822486,-0.08207136584866426,True,available
5,3.250512676474489,3.0492653401692706,3.4926708419234664,specialization,A_1,"[""A_2""]",0.2012473363052183,0.2421581654489775,True,available
6,3.0579089558233594,2.746166480867462,3.258611393479929,transient_anomaly,C_1,[],0.31174247495589746,,False,excluded_not_unseen_law_task
7,3.4356164484405896,3.1041680080019716,3.4760067949658033,merge,A_1|A_2,"[""A_merge""]",0.331448440438618,0.04039034652521378,True,available
8,3.1040685685551535,3.081627842577659,3.4597258865975538,long_gap_recurrence,A_1,[],0.02244072597749458,,False,excluded_not_unseen_law_task
9,3.4154554339990977,3.057941841950792,3.4238814971520513,mixture,,"[""E_1""]",0.35751359204830546,0.008426063152953578,True,available
