baseline_checkpoint_task,baseline_nll_per_event,best_nll_since_first_seen,bwt_nll,checkpoint_task,current_nll_per_event,first_seen_task,forgetting_nll,regime_id,variant
0,3.024283262242365,3.024283262242365,,0,3.024283262242365,0,0.0,A_1,frozen/full
0,3.024283262242365,3.024283262242365,-0.33983779504054556,1,3.3641210572829108,0,0.33983779504054556,A_1,frozen/full
1,3.2206868537623596,3.2206868537623596,,1,3.2206868537623596,1,0.0,B_1,frozen/full
0,3.024283262242365,3.024283262242365,-0.39829965694493774,2,3.422582919187303,0,0.39829965694493774,A_1,frozen/full
1,3.2206868537623596,3.2206868537623596,-0.26366512294080247,2,3.484351976703162,1,0.26366512294080247,B_1,frozen/full
2,2.548160827174914,2.548160827174914,,2,2.548160827174914,2,0.0,C_1,frozen/full
0,3.024283262242365,3.024283262242365,-0.022869127360277908,3,3.047152389602643,0,0.022869127360277908,A_1,frozen/full
1,3.2206868537623596,3.2206868537623596,-0.3594195189132603,3,3.58010637267562,1,0.3594195189132603,B_1,frozen/full
2,2.548160827174914,2.548160827174914,-0.30263879687007433,3,2.8507996240449884,2,0.30263879687007433,C_1,frozen/full
0,3.024283262242365,3.024283262242365,-0.1878776123511794,4,3.2121608745935446,0,0.1878776123511794,A_1,frozen/full
1,3.2206868537623596,3.0809922003267505,0.13969465343560916,4,3.0809922003267505,1,0.0,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,,4,3.0279160578839774,4,0.0,B_prime_1,frozen/full
2,2.548160827174914,2.548160827174914,-0.4007190949679327,4,2.9488799221428468,2,0.4007190949679327,C_1,frozen/full
0,3.024283262242365,3.007570829257543,0.01671243298482228,5,3.007570829257543,0,0.0,A_1,frozen/full
5,3.1222832262767892,3.1222832262767892,,5,3.1222832262767892,5,0.0,A_2,frozen/full
1,3.2206868537623596,3.0809922003267505,-0.009209325941281765,5,3.2298961797036414,1,0.14890397937689093,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,-0.14169925629517222,5,3.1696153141791497,4,0.14169925629517222,B_prime_1,frozen/full
2,2.548160827174914,2.548160827174914,-0.3692687026188626,5,2.9174295297937767,2,0.3692687026188626,C_1,frozen/full
0,3.024283262242365,3.007570829257543,-0.38727417391727315,6,3.4115574361596384,0,0.4039866069020954,A_1,frozen/full
5,3.1222832262767892,3.1222832262767892,-0.37394414527659814,6,3.4962273715533874,5,0.37394414527659814,A_2,frozen/full
1,3.2206868537623596,3.0809922003267505,-0.35636897531844935,6,3.577055829080809,1,0.4960636287540585,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,-0.4970982746710799,6,3.5250143325550574,4,0.4970982746710799,B_prime_1,frozen/full
2,2.548160827174914,2.5364031576418786,0.011757669533035475,6,2.5364031576418786,2,0.0,C_1,frozen/full
0,3.024283262242365,3.007570829257543,-0.0263156541271794,7,3.0505989163695446,0,0.04302808711200168,A_1,frozen/full
5,3.1222832262767892,3.1222832262767892,-0.04579275056790166,7,3.168075976844691,5,0.04579275056790166,A_2,frozen/full
7,3.0427983994649646,3.0427983994649646,,7,3.0427983994649646,7,0.0,A_merge,frozen/full
1,3.2206868537623596,3.0809922003267505,-0.23772915566544617,7,3.458416009427806,1,0.37742380910105533,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,-0.3710142126188911,7,3.3989302705028686,4,0.3710142126188911,B_prime_1,frozen/full
2,2.548160827174914,2.5364031576418786,-0.19817552795025328,7,2.7463363551251674,2,0.20993319748328876,C_1,frozen/full
0,3.024283262242365,3.007570829257543,-0.0007718764325317373,8,3.025055138674897,0,0.017484309417354016,A_1,frozen/full
5,3.1222832262767892,3.1222832262767892,-0.022591703008604025,8,3.1448749292853933,5,0.022591703008604025,A_2,frozen/full
7,3.0427983994649646,3.0175127191433115,0.025285680321653015,8,3.0175127191433115,7,0.0,A_merge,frozen/full
1,3.2206868537623596,3.0809922003267505,-0.258342983421497,8,3.4790298371838566,1,0.39803763685710614,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,-0.3911231355103486,8,3.419039193394326,4,0.3911231355103486,B_prime_1,frozen/full
2,2.548160827174914,2.5364031576418786,-0.21959620087324172,8,2.767757028048156,2,0.2313538704062772,C_1,frozen/full
0,3.024283262242365,3.007570829257543,-0.3868686791347109,9,3.411151941377076,0,0.4035811121195332,A_1,frozen/full
5,3.1222832262767892,3.1222832262767892,-0.36035698633006685,9,3.482640212606856,5,0.36035698633006685,A_2,frozen/full
7,3.0427983994649646,3.0175127191433115,-0.3492242304975002,9,3.3920226299624647,7,0.3745099108191532,A_merge,frozen/full
1,3.2206868537623596,3.0809922003267505,0.042230120121799164,9,3.1784567336405605,1,0.09746453331381,B_1,frozen/full
4,3.0279160578839774,3.0279160578839774,-0.10026428944816956,9,3.128180347332147,4,0.10026428944816956,B_prime_1,frozen/full
2,2.548160827174914,2.5364031576418786,-0.5382139901044543,9,3.0863748172793684,2,0.5499716596374897,C_1,frozen/full
9,2.870247680768626,2.870247680768626,,9,2.870247680768626,9,0.0,E_1,frozen/full
