average_bwt,average_forgetting,bwt_law_count,checkpoint_task,clnll,current_accuracy,current_local_time_mae,current_nll_per_event,leaf_count,memory_rows,node_count,seen_law_count,variant
,0.0,0,0,3.024283262242365,0.32527264106211473,1.2029747065349234,3.05439406314016,1,12,1,1,frozen/full
-0.33983779504054556,0.16991889752027278,1,1,3.2924039555226354,0.2193486590038314,1.293157199333454,3.3357911237811675,1,36,1,2,frozen/full
-0.3309823899428701,0.22065492662858008,2,2,3.1516985743551267,0.3914590747330961,0.8919379191163475,2.5553808750449307,1,60,1,3,frozen/full
-0.2283091477145375,0.2283091477145375,3,3,3.159352795441084,0.22011385199240988,1.1765367609273776,3.086482371958202,1,76,1,3,frozen/full
-0.14963401796116763,0.14714917682977802,3,4,3.06748726373678,0.27344913151364764,1.080076176002067,2.9011265492025142,1,120,1,4,frozen/full
-0.12586621296762357,0.13197438765818514,4,5,3.0893590158421804,0.3254320987654321,1.1710971813437379,3.0492653401692706,1,144,1,5,frozen/full
-0.32058557993007303,0.3542185311207664,5,6,3.3092516253981543,0.365912373615792,0.9654818834682238,2.746166480867462,1,36,1,5,frozen/full
-0.17580546018593432,0.17453200948052308,5,7,3.1441926546225063,0.26940187839841817,1.1505590882916528,3.1041680080019716,3,60,5,6,frozen/full
-0.14452336982076167,0.17676510919994834,6,8,3.1422114742883234,0.27732696897374703,1.1242350066191826,3.081627842577659,3,60,5,6,frozen/full
-0.2821163425655171,0.2694497845240318,6,9,3.221296337566728,0.3000489476260401,1.1105529983079847,3.057941841950792,2,108,3,7,frozen/full
