checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,3.13143,3.23094,3.12339,3.92809,3.94007,3.37852,3.50696
1,3.70156,3.70084,3.67438,3.17149,3.15433,3.39331,3.6008
2,3.59622,3.64208,3.57089,3.70787,3.72551,2.71541,3.59749
3,3.08566,3.19095,3.08148,4.00758,4.01163,3.47085,3.61361
4,3.68313,3.6801,3.65653,3.15802,3.12711,3.40874,3.60721
5,3.07199,3.17073,3.0777,3.72986,3.72522,3.48456,3.56789
6,3.31299,3.38894,3.30884,3.6748,3.68487,2.71937,3.55452
7,3.05243,3.16074,3.06056,3.81644,3.82211,3.49106,3.53429
8,3.04039,3.15995,3.04858,3.81764,3.82395,3.45003,3.53682
9,3.47641,3.52501,3.44158,3.25476,3.23554,3.31834,3.00593
