accuracy,anchor,evaluation,evaluation_scope,nll_per_event,num_events,task,time_rmse
0.19836,,pre_update,,8.53568,0,0,2.27682
0.34617,,post_update,,3.14679,0,0,2.07659
0.35726,A_1,frozen_anchor,persistent,3.13143,0,0,2.11153
0.05538,B_1,frozen_anchor,persistent,3.92809,0,0,2.16929
0.11766,C_1,frozen_anchor,persistent,3.37852,0,0,1.91328
0.0612,B_prime_1,frozen_anchor,persistent,3.94007,0,0,2.20798
0.31877,A_2,frozen_anchor,persistent,3.23094,0,0,2.01753
0.27422,X_transient,frozen_anchor,diagnostic_only,3.18296,0,0,1.84707
0.33284,A_merge,frozen_anchor,persistent,3.12339,0,0,1.97304
0.08752,E_1,frozen_anchor,persistent,3.50696,0,0,1.88754
0.06128,,pre_update,,3.96045,0,1,2.2426
0.10603,,scratch_pre,,8.87303,0,1,2.32069
0.26556,,post_update,,3.30561,0,1,2.08627
0.11941,A_1,frozen_anchor,persistent,3.70156,0,1,2.51221
0.27499,B_1,frozen_anchor,persistent,3.17149,0,1,1.97129
0.14125,C_1,frozen_anchor,persistent,3.39331,0,1,1.94289
0.26823,B_prime_1,frozen_anchor,persistent,3.15433,0,1,1.99382
0.08942,A_2,frozen_anchor,persistent,3.70084,0,1,2.38946
0.11138,X_transient,frozen_anchor,diagnostic_only,3.61214,0,1,2.33261
0.11348,A_merge,frozen_anchor,persistent,3.67438,0,1,2.39442
0.11412,E_1,frozen_anchor,persistent,3.6008,0,1,2.28943
0.16227,,pre_update,,3.40327,0,2,1.95792
0.11835,,scratch_pre,,6.55604,0,2,1.88575
0.37829,,post_update,,2.72261,0,2,1.77818
0.08581,A_1,frozen_anchor,persistent,3.59622,0,2,2.1899
0.08991,B_1,frozen_anchor,persistent,3.70787,0,2,2.08639
0.37862,C_1,frozen_anchor,persistent,2.71541,0,2,1.76227
0.08056,B_prime_1,frozen_anchor,persistent,3.72551,0,2,2.12569
0.08007,A_2,frozen_anchor,persistent,3.64208,0,2,2.09424
0.08142,X_transient,frozen_anchor,diagnostic_only,3.55636,0,2,1.98705
0.0848,A_merge,frozen_anchor,persistent,3.57089,0,2,2.06078
0.09896,E_1,frozen_anchor,persistent,3.59749,0,2,2.03461
0.0843,,pre_update,,3.612,0,3,2.15538
0.19701,,scratch_pre,,8.23211,0,3,2.22161
0.33189,,post_update,,3.14736,0,3,2.06429
0.36307,A_1,frozen_anchor,persistent,3.08566,0,3,2.09924
0.06425,B_1,frozen_anchor,persistent,4.00758,0,3,2.4011
0.13766,C_1,frozen_anchor,persistent,3.47085,0,3,2.05274
0.07889,B_prime_1,frozen_anchor,persistent,4.01163,0,3,2.44284
0.3314,A_2,frozen_anchor,persistent,3.19095,0,3,2.00525
0.2892,X_transient,frozen_anchor,diagnostic_only,3.17721,0,3,1.88042
0.34951,A_merge,frozen_anchor,persistent,3.08148,0,3,1.95205
0.11089,E_1,frozen_anchor,persistent,3.61361,0,3,1.96179
0.07262,,pre_update,,3.98241,0,4,2.38002
0.09884,,scratch_pre,,7.81155,0,4,2.12022
0.27231,,post_update,,2.96645,0,4,1.86778
0.1066,A_1,frozen_anchor,persistent,3.68313,0,4,2.48584
0.27523,B_1,frozen_anchor,persistent,3.15802,0,4,1.97242
0.12843,C_1,frozen_anchor,persistent,3.40874,0,4,1.94813
0.28305,B_prime_1,frozen_anchor,persistent,3.12711,0,4,1.99027
0.10003,A_2,frozen_anchor,persistent,3.6801,0,4,2.35199
0.10872,X_transient,frozen_anchor,diagnostic_only,3.60813,0,4,2.28407
0.10882,A_merge,frozen_anchor,persistent,3.65653,0,4,2.36095
