Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.76572,  0.14275,  2.28733
1, validation, -3.55056,  0.23213,  2.15312
2, train, -3.40310,  0.23280,  2.07817
2, validation, -3.33414,  0.22770,  2.11065
3, train, -3.28440,  0.22862,  2.06429
3, validation, -3.26859,  0.25973,  2.08557
4, train, -3.24020,  0.23980,  2.03725
4, validation, -3.22474,  0.23657,  2.06550
5, train, -3.21094,  0.23366,  2.02332
5, validation, -3.19075,  0.24446,  2.04004
6, train, -3.17626,  0.24754,  1.99079
6, validation, -3.14607,  0.25875,  2.00585
7, train, -3.12731,  0.25663,  1.95290
7, validation, -3.08521,  0.26713,  1.95752
8, train, -3.08139,  0.26093,  1.91660
8, validation, -3.07342,  0.26269,  1.92994
9, train, -3.06390,  0.26499,  1.90311
9, validation, -3.05617,  0.26318,  1.92204
10, train, -3.04238,  0.26806,  1.89599
10, validation, -3.05157,  0.27107,  1.92829
11, train, -3.02242,  0.27236,  1.89226
11, validation, -3.03362,  0.27156,  1.92341
12, train, -3.01257,  0.27076,  1.89076
12, validation, -3.03994,  0.27353,  1.92911
13, train, -3.00238,  0.27420,  1.89022
13, validation, -3.02231,  0.26516,  1.92170
14, train, -2.99061,  0.27469,  1.87999
14, validation, -3.02470,  0.27353,  1.92146
15, train, -2.98660,  0.28366,  1.88268
15, validation, -3.01471,  0.27156,  1.92039
16, train, -2.97669,  0.28120,  1.87965
16, validation, -3.01285,  0.27945,  1.92182
17, train, -2.96763,  0.28735,  1.87712
17, validation, -3.01613,  0.26910,  1.92031
18, train, -2.95892,  0.28747,  1.87115
18, validation, -3.01562,  0.27551,  1.92008
19, train, -2.95081,  0.28894,  1.86927
19, validation, -3.02810,  0.27156,  1.92286
20, train, -2.94537,  0.29042,  1.86643
20, validation, -3.01720,  0.27649,  1.92205
21, train, -2.94102,  0.29128,  1.86545
21, validation, -3.02412,  0.27945,  1.92346
22, train, -2.93627,  0.29595,  1.86272
22, validation, -3.01755,  0.27896,  1.92091
23, train, -2.93356,  0.29165,  1.86395
23, validation, -3.02742,  0.27551,  1.92198
24, train, -2.93081,  0.29951,  1.86129
24, validation, -3.02258,  0.27896,  1.92339
25, train, -2.92713,  0.29779,  1.86049
25, validation, -3.02887,  0.27797,  1.92288
