Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -7.80218,  0.08153,  2.09944
1, validation, -8.38818,  0.09847,  2.12945
2, train, -7.61917,  0.10842,  2.09057
2, validation, -8.17350,  0.15165,  2.11749
3, train, -7.43211,  0.19495,  2.08043
3, validation, -7.95116,  0.22649,  2.10451
4, train, -7.23205,  0.24484,  2.06996
4, validation, -7.70827,  0.23486,  2.08937
5, train, -7.01351,  0.24822,  2.05820
5, validation, -7.43153,  0.23535,  2.07212
6, train, -6.76257,  0.24872,  2.04574
6, validation, -7.10645,  0.23535,  2.05379
7, train, -6.46189,  0.24747,  2.03442
7, validation, -6.72199,  0.23535,  2.03738
8, train, -6.10025,  0.24797,  2.02706
8, validation, -6.27491,  0.23584,  2.02818
9, train, -5.68151,  0.24809,  2.03085
9, validation, -5.78052,  0.23092,  2.03303
10, train, -5.23048,  0.25547,  2.04887
10, validation, -5.28029,  0.24815,  2.05245
11, train, -4.80049,  0.26122,  2.08107
11, validation, -4.82663,  0.24668,  2.07453
12, train, -4.41045,  0.26335,  2.10072
12, validation, -4.45309,  0.24668,  2.07751
13, train, -4.10443,  0.26360,  2.09432
13, validation, -4.16503,  0.24668,  2.05829
14, train, -3.87233,  0.26310,  2.06701
14, validation, -3.94597,  0.24569,  2.03646
15, train, -3.69630,  0.26447,  2.04002
15, validation, -3.77922,  0.24520,  2.02870
16, train, -3.56525,  0.26047,  2.02657
16, validation, -3.65272,  0.24618,  2.03305
17, train, -3.46322,  0.26410,  2.02625
17, validation, -3.56302,  0.24668,  2.03672
18, train, -3.39215,  0.26472,  2.02641
18, validation, -3.50803,  0.24668,  2.03437
19, train, -3.34817,  0.26422,  2.02537
19, validation, -3.48269,  0.24668,  2.02965
20, train, -3.32702,  0.26447,  2.02535
20, validation, -3.47665,  0.24668,  2.02694
