checkpoint_task,variant,regime_id,forgetting_nll,bwt_nll
0,frozen/full,A_1,0.0,
1,frozen/full,A_1,0.3516957156574745,-0.3516957156574745
1,frozen/full,B_1,0.0,
2,frozen/full,A_1,0.35156922134947877,-0.35156922134947877
2,frozen/full,B_1,0.22802404158230782,-0.22802404158230782
2,frozen/full,C_1,0.0,
3,frozen/full,A_1,0.055992208188898385,-0.055992208188898385
3,frozen/full,B_1,0.3279325410917209,-0.3279325410917209
3,frozen/full,C_1,0.22862734512002003,-0.22862734512002003
4,frozen/full,A_1,0.11115686588700502,-0.11115686588700502
4,frozen/full,B_1,0.03131262949253344,-0.03131262949253344
4,frozen/full,B_prime_1,0.0,
4,frozen/full,C_1,0.21975758998721728,-0.21975758998721728
5,frozen/full,A_1,0.0,0.0839060906199327
5,frozen/full,A_2,0.0,
5,frozen/full,B_1,0.20133518727920707,-0.20133518727920707
5,frozen/full,B_prime_1,0.15809588952150966,-0.15809588952150966
5,frozen/full,C_1,0.5402233763570896,-0.5402233763570896
6,frozen/full,A_1,0.27726056399273924,-0.19335447337280653
6,frozen/full,A_2,0.26743256533113335,-0.26743256533113335
6,frozen/full,B_1,0.2402987645677297,-0.2402987645677297
6,frozen/full,B_prime_1,0.19283917676091678,-0.19283917676091678
6,frozen/full,C_1,0.012550285695329677,-0.012550285695329677
7,frozen/full,A_1,0.15882013071664502,-0.07491404009671232
7,frozen/full,A_2,0.138290940070668,-0.138290940070668
7,frozen/full,A_merge,0.0,
7,frozen/full,B_1,0.2179188986173628,-0.2179188986173628
7,frozen/full,B_prime_1,0.17992772443002059,-0.17992772443002059
7,frozen/full,C_1,0.17152694375036948,-0.17152694375036948
8,frozen/full,A_1,0.10955039435016412,-0.02564430373023141
8,frozen/full,A_2,0.09825478292299739,-0.09825478292299739
8,frozen/full,A_merge,0.0,0.04649215683513663
8,frozen/full,B_1,0.24061400718643933,-0.24061400718643933
8,frozen/full,B_prime_1,0.19767302604515402,-0.19767302604515402
8,frozen/full,C_1,0.1792548238554641,-0.1792548238554641
9,frozen/full,A_1,0.2305024184944573,-0.1465963278745246
9,frozen/full,A_2,0.22061147744342113,-0.22061147744342113
9,frozen/full,A_merge,0.11860409482565659,-0.07211193799051996
9,frozen/full,B_1,0.0793190948234117,-0.0793190948234117
9,frozen/full,B_prime_1,0.03641022641096825,-0.03641022641096825
9,frozen/full,C_1,0.2698605204289981,-0.2698605204289981
9,frozen/full,E_1,0.0,
