checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,frozen/full,frozen,full,3.0547027660241453,0.3262209577999052,1.2019741678757936,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,frozen/full,frozen,full,3.87890027948723,0.085727969348659,1.4960881412257636,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,frozen/full,frozen,full,3.30223230383862,0.23802681992337166,1.2719983323780513,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,frozen/full,frozen,full,3.087299760004925,0.1967463141840366,0.9812369518735776,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,frozen/full,frozen,full,2.5819512325067717,0.3665480427046263,0.8893445785359556,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.410060339679754,0.08206831119544591,1.1946993706574702,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.1159493013848842,0.2148956356736243,1.1813117485118771,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.36747071145486,0.07295285359801489,1.169171386794476,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.0494140625,0.20595533498759305,1.1452401040505535,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,frozen/full,frozen,full,3.1873933768566745,0.20444444444444446,1.1961805725097656,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,frozen/full,frozen,full,2.985290922941985,0.38666666666666666,1.1705015611059872,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,frozen/full,frozen,full,3.223536726942875,0.11795859412614347,1.0006176540354552,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,frozen/full,frozen,full,2.783086256046506,0.33750601829561866,0.9708396680204697,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,frozen/full,frozen,full,3.264909043738704,0.1547207118141374,1.1638881572095463,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,frozen/full,frozen,full,3.142654833791283,0.2397429560059318,1.1595650530073587,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.1373067050105345,0.23818615751789976,1.1403965424239493,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.0982478977103223,0.2529832935560859,1.1312078799154424,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.3735731725183937,0.13166911404796866,1.1478824848878986,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.134136974840729,0.2310327949094469,1.1201087832159116,2043
