checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.0661752417280868,0.23214285714285715,1.1182177370579547
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.2518686414990308,0.21683798335780716,1.0180267160334426
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,3.1356296879823535,0.21661509164484646,1.2014636484902974
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.2122072312176018,0.19244391971664698,1.1973920770350144
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,2.7970337645252896,0.22547288776796973,0.9633681539028018
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.1689157326529664,0.18083352955027077,1.2055860995011298
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.261654638811453,0.19786229182202336,1.2095473794655038
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_X_transient,X_transient,frozen/full,frozen,full,3.2193431758948687,0.1670235546038544,1.1158736095296864
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_merge,A_merge,frozen/full,frozen,full,3.1299413419598316,0.21742277992277992,1.138805899380717
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_E_1,E_1,frozen/full,frozen,full,3.19854739315651,0.19701419481155164,1.0351385194999707
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_1,A_1,frozen/full,frozen,full,2.940566731475416,0.37752915972387524,1.1666265844986627
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_B_1,B_1,frozen/full,frozen,full,3.3822297890042754,0.1695395513577332,1.2709709933122186
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_C_1,C_1,frozen/full,frozen,full,3.117499550895162,0.09760403530895334,0.9545050011306513
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_B_prime_1,B_prime_1,frozen/full,frozen,full,3.327011622174476,0.17989168825052979,1.281301131494359
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_2,A_2,frozen/full,frozen,full,3.063540256470849,0.35719612229679343,1.1758151629241935
