Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.50307,  0.19697,  2.27431
1, validation, -3.18618,  0.26078,  2.07681
2, train, -3.25121,  0.26122,  2.11827
2, validation, -3.09989,  0.31405,  2.05234
3, train, -3.20784,  0.29970,  2.10139
3, validation, -3.06425,  0.32725,  2.02652
4, train, -3.17957,  0.32005,  2.07164
4, validation, -3.04771,  0.34703,  2.01744
5, train, -3.17673,  0.33115,  2.06958
5, validation, -3.05193,  0.33739,  2.01924
6, train, -3.16395,  0.32844,  2.06359
6, validation, -3.04442,  0.34805,  2.01192
7, train, -3.15331,  0.33522,  2.05882
7, validation, -3.04483,  0.34348,  2.01255
8, train, -3.15182,  0.33473,  2.05578
8, validation, -3.04280,  0.34399,  2.01418
9, train, -3.14376,  0.33670,  2.05201
9, validation, -3.04512,  0.34754,  2.01865
10, train, -3.14035,  0.33917,  2.05101
10, validation, -3.04496,  0.35464,  2.01653
11, train, -3.13565,  0.34262,  2.04750
11, validation, -3.04340,  0.35058,  2.01607
12, train, -3.12936,  0.34546,  2.04279
12, validation, -3.04762,  0.34906,  2.01863
13, train, -3.12663,  0.34373,  2.04117
13, validation, -3.04054,  0.34602,  2.01673
14, train, -3.12107,  0.34571,  2.03825
14, validation, -3.04037,  0.34957,  2.01562
15, train, -3.11408,  0.34904,  2.03450
15, validation, -3.04456,  0.34754,  2.01774
16, train, -3.11197,  0.35150,  2.03264
16, validation, -3.03938,  0.35160,  2.01521
17, train, -3.10613,  0.35323,  2.02992
17, validation, -3.04127,  0.35566,  2.01600
18, train, -3.10008,  0.35767,  2.02645
18, validation, -3.03929,  0.35312,  2.01522
19, train, -3.09589,  0.35545,  2.02547
19, validation, -3.04192,  0.35008,  2.01985
20, train, -3.08949,  0.35607,  2.02175
20, validation, -3.03803,  0.35312,  2.01490
21, train, -3.08465,  0.35927,  2.02027
21, validation, -3.03720,  0.35160,  2.01563
22, train, -3.08238,  0.35841,  2.01878
22, validation, -3.04095,  0.34906,  2.01933
23, train, -3.07848,  0.36063,  2.01642
23, validation, -3.03905,  0.35413,  2.01610
24, train, -3.07716,  0.35422,  2.01594
24, validation, -3.04300,  0.35312,  2.01978
25, train, -3.07425,  0.36137,  2.01382
25, validation, -3.04322,  0.35413,  2.01856
