checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,fast_adapt/full,fast_adapt,full,3.054607563190632,0.32669511616880037,1.2018496294957646,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,fast_adapt/full,fast_adapt,full,3.878477476565774,0.08524904214559387,1.4959985323792673,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,fast_adapt/full,fast_adapt,full,3.3021029695240474,0.23563218390804597,1.2718624520575863,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,fast_adapt/full,fast_adapt,full,3.0864111469309523,0.19827147941026946,0.9810646243306302,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,fast_adapt/full,fast_adapt,full,2.582091098275352,0.3665480427046263,0.8893309526778019,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,fast_adapt/full,fast_adapt,full,3.409580903894761,0.08206831119544591,1.1946961802821006,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,fast_adapt/full,fast_adapt,full,3.1159719289819474,0.2144212523719165,1.1812508110755762,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,fast_adapt/full,fast_adapt,full,3.367001679754139,0.07295285359801489,1.1691320338852649,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,fast_adapt/full,fast_adapt,full,3.0492647005369884,0.20496277915632755,1.1450972715619183,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,fast_adapt/full,fast_adapt,full,3.1871474767614294,0.20444444444444446,1.1960671328320915,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,fast_adapt/full,fast_adapt,full,2.9853531561957465,0.38666666666666666,1.170468384542583,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,fast_adapt/full,fast_adapt,full,3.222585135374037,0.11795859412614347,1.0006371380103913,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,fast_adapt/full,fast_adapt,full,2.783142773073111,0.33702455464612424,0.9708294498845828,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.2646420036161294,0.15669797330696986,1.1638661628304527,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.142528924267892,0.2397429560059318,1.1594810221846954,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,fast_adapt/full,fast_adapt,full,3.137163272393347,0.23770883054892603,1.1403013151983656,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,fast_adapt/full,fast_adapt,full,3.0982153189210733,0.2529832935560859,1.1311329060920952,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,fast_adapt/full,fast_adapt,full,3.3729920538978373,0.1311796377875673,1.1477876776173834,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,fast_adapt/full,fast_adapt,full,3.1341985178763996,0.2305433186490455,1.1200499588289041,2043
