Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -4.43710,  0.00000,  4.17691
1, validation, -4.38753,  0.00000,  4.16396
2, train, -4.40406,  0.00000,  4.15668
2, validation, -4.35416,  0.00000,  4.14819
3, train, -4.37381,  0.00000,  4.15711
3, validation, -4.32121,  0.00000,  4.13361
4, train, -4.33112,  0.00000,  4.13085
4, validation, -4.28879,  0.06667,  4.12006
5, train, -4.30062,  0.06667,  4.11151
5, validation, -4.25652,  0.06667,  4.10734
6, train, -4.26708,  0.13333,  4.11376
6, validation, -4.22430,  0.20000,  4.09549
7, train, -4.23808,  0.13333,  4.09277
7, validation, -4.19208,  0.20000,  4.08411
8, train, -4.19908,  0.13333,  4.08701
8, validation, -4.15965,  0.13333,  4.07299
9, train, -4.17227,  0.13333,  4.07062
9, validation, -4.12697,  0.20000,  4.06179
10, train, -4.14304,  0.20000,  4.05804
10, validation, -4.09377,  0.33333,  4.05058
11, train, -4.11098,  0.40000,  4.05376
11, validation, -4.06034,  0.40000,  4.03876
12, train, -4.08639,  0.46667,  4.04742
12, validation, -4.02648,  0.40000,  4.02636
13, train, -4.03764,  0.40000,  4.02646
13, validation, -3.99232,  0.40000,  4.01347
14, train, -4.00687,  0.33333,  4.02261
14, validation, -3.95787,  0.33333,  3.99954
15, train, -3.96382,  0.33333,  3.99905
15, validation, -3.92316,  0.33333,  3.98467
16, train, -3.93152,  0.33333,  3.98009
16, validation, -3.88836,  0.33333,  3.96888
17, train, -3.89642,  0.40000,  3.96993
17, validation, -3.85352,  0.33333,  3.95251
18, train, -3.85792,  0.33333,  3.94707
18, validation, -3.81857,  0.33333,  3.93549
19, train, -3.81629,  0.33333,  3.92480
19, validation, -3.78371,  0.33333,  3.91810
20, train, -3.80844,  0.33333,  3.93353
20, validation, -3.74907,  0.40000,  3.90053
