Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -5.38876,  0.33333,  3.25748
1, validation, -5.23071,  0.33333,  3.21684
2, train, -5.35582,  0.33333,  3.24589
2, validation, -5.17058,  0.33333,  3.19570
3, train, -5.24751,  0.33333,  3.21215
3, validation, -5.11215,  0.33333,  3.17518
4, train, -5.15640,  0.33333,  3.19156
4, validation, -5.05553,  0.33333,  3.15545
5, train, -5.09385,  0.33333,  3.16075
5, validation, -5.00058,  0.33333,  3.13674
6, train, -5.03360,  0.33333,  3.14467
6, validation, -4.94694,  0.33333,  3.11859
7, train, -5.02047,  0.33333,  3.13211
7, validation, -4.89449,  0.33333,  3.10093
8, train, -4.98123,  0.33333,  3.12148
8, validation, -4.84304,  0.33333,  3.08364
9, train, -4.90757,  0.33333,  3.10543
9, validation, -4.79262,  0.33333,  3.06676
10, train, -4.87723,  0.33333,  3.09602
10, validation, -4.74323,  0.33333,  3.05021
11, train, -4.77595,  0.33333,  3.05402
11, validation, -4.69476,  0.33333,  3.03382
12, train, -4.75475,  0.33333,  3.05021
12, validation, -4.64710,  0.33333,  3.01753
13, train, -4.77924,  0.33333,  3.06066
13, validation, -4.60037,  0.33333,  3.00146
14, train, -4.64718,  0.33333,  3.00559
14, validation, -4.55442,  0.33333,  2.98541
15, train, -4.57536,  0.33333,  2.99546
15, validation, -4.50924,  0.66667,  2.96933
16, train, -4.54374,  1.00000,  2.97748
16, validation, -4.46471,  1.00000,  2.95319
17, train, -4.52950,  1.00000,  2.96627
17, validation, -4.42085,  1.00000,  2.93693
18, train, -4.47629,  0.66667,  2.95663
18, validation, -4.37750,  0.66667,  2.92048
19, train, -4.42034,  0.66667,  2.94061
19, validation, -4.33461,  0.66667,  2.90377
20, train, -4.38559,  0.66667,  2.90362
20, validation, -4.29226,  0.66667,  2.88669
