Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -7.32766,  0.24297,  2.10357
1, validation, -7.35724,  0.24618,  2.13971
2, train, -6.44742,  0.26360,  2.10028
2, validation, -6.38053,  0.24717,  2.11985
3, train, -5.58746,  0.26460,  2.08022
3, validation, -5.39493,  0.24766,  2.09085
4, train, -4.74369,  0.27385,  2.05661
4, validation, -4.50010,  0.25455,  2.05928
5, train, -4.00647,  0.25672,  2.03400
5, validation, -3.85076,  0.23584,  2.03176
6, train, -3.52208,  0.25622,  2.02117
6, validation, -3.50658,  0.25800,  2.02166
7, train, -3.32485,  0.26710,  2.02505
7, validation, -3.39920,  0.24668,  2.02149
8, train, -3.26002,  0.27123,  2.02036
8, validation, -3.38820,  0.25160,  2.02889
9, train, -3.24691,  0.27185,  2.02098
9, validation, -3.40471,  0.24668,  2.02337
10, train, -3.25090,  0.26885,  2.02022
10, validation, -3.41381,  0.29197,  2.02312
11, train, -3.24219,  0.30311,  2.01861
11, validation, -3.39201,  0.24717,  2.02156
12, train, -3.23022,  0.26760,  2.01770
12, validation, -3.37348,  0.27720,  2.01995
13, train, -3.22373,  0.30261,  2.01641
13, validation, -3.36618,  0.29394,  2.01829
14, train, -3.21820,  0.30561,  2.01554
14, validation, -3.36389,  0.28705,  2.01675
15, train, -3.21153,  0.30124,  2.01205
15, validation, -3.35745,  0.28804,  2.01322
16, train, -3.19954,  0.30311,  2.00589
16, validation, -3.34422,  0.27720,  2.00616
17, train, -3.17486,  0.30074,  1.99307
17, validation, -3.33830,  0.27425,  1.99652
18, train, -3.15349,  0.32325,  1.98163
18, validation, -3.31522,  0.30182,  1.98956
19, train, -3.13042,  0.35138,  1.97792
19, validation, -3.30627,  0.31610,  1.98791
20, train, -3.10268,  0.35138,  1.97228
20, validation, -3.29563,  0.31709,  1.98569
21, train, -3.08608,  0.34926,  1.96889
21, validation, -3.28907,  0.31955,  1.98316
22, train, -3.07473,  0.35238,  1.96745
22, validation, -3.27898,  0.32102,  1.98084
23, train, -3.06674,  0.35363,  1.96621
23, validation, -3.27743,  0.32299,  1.97964
24, train, -3.05549,  0.35751,  1.96364
24, validation, -3.27158,  0.32447,  1.97797
25, train, -3.04878,  0.35576,  1.96204
25, validation, -3.26406,  0.32299,  1.97557
