episodic_bytes,episodic_rows,leaf_count,merge_count,nise,node_count,prune_count,semantic_bytes,split_count,task_id
195019,12,1,0,0.1695148013516787,1,0,1692,0,0
402962,36,1,2,0.4445521835961336,1,0,1692,2,1
604444,60,1,3,0.619832400995477,1,0,1692,3,2
1053308,108,1,5,0.46739394008126167,1,0,1692,6,3
191697,12,1,6,0.33960948748937436,1,0,1692,7,4
503068,48,1,7,0.39930562145594173,1,0,1692,8,5
596704,60,1,7,0.48202927773229465,1,0,1692,8,6
705064,72,1,7,0.33020394315430884,1,0,1692,8,7
712808,72,1,7,0.32152483592086584,1,0,1692,9,8
721384,72,1,8,0.32965489198373243,1,0,1692,10,9
