baseline_checkpoint_task,baseline_nll_per_event,best_nll_since_first_seen,bwt_nll,checkpoint_task,current_nll_per_event,first_seen_task,forgetting_nll,regime_id,variant
0,3.0240386276408566,3.0240386276408566,,0,3.0240386276408566,0,0.0,A_1,frozen/full
0,3.0240386276408566,3.0240386276408566,-0.35111488282354175,1,3.3751535104643984,0,0.35111488282354175,A_1,frozen/full
1,3.1744516978438377,3.1744516978438377,,1,3.1744516978438377,1,0.0,B_1,frozen/full
0,3.0240386276408566,3.0240386276408566,-0.39079199856560853,2,3.414830626206465,0,0.39079199856560853,A_1,frozen/full
1,3.1744516978438377,3.1744516978438377,-0.3065092715068576,2,3.4809609693506953,1,0.3065092715068576,B_1,frozen/full
2,2.545875609928242,2.545875609928242,,2,2.545875609928242,2,0.0,C_1,frozen/full
0,3.0240386276408566,2.974096974257315,0.04994165338354151,3,2.974096974257315,0,0.0,A_1,frozen/full
1,3.1744516978438377,3.1744516978438377,-0.41518746188004974,3,3.5896391597238875,1,0.41518746188004974,B_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.40120194520505326,3,2.947077555133295,2,0.40120194520505326,C_1,frozen/full
0,3.0240386276408566,2.974096974257315,-0.23545095711144848,4,3.259489584752305,0,0.28539261049499,A_1,frozen/full
1,3.1744516978438377,3.0896753250356266,0.08477637280821115,4,3.0896753250356266,1,0.0,B_1,frozen/full
4,3.039475191501216,3.039475191501216,,4,3.039475191501216,4,0.0,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.47486144038196754,4,3.0207370503102093,2,0.47486144038196754,C_1,frozen/full
0,3.0240386276408566,2.94186980699931,0.08216882064154651,5,2.94186980699931,0,0.0,A_1,frozen/full
5,3.065458025115656,3.065458025115656,,5,3.065458025115656,5,0.0,A_2,frozen/full
1,3.1744516978438377,3.0896753250356266,-0.1957612615267812,5,3.370212959370619,1,0.28053763433499235,B_1,frozen/full
4,3.039475191501216,3.039475191501216,-0.274788558525227,5,3.314263750026443,4,0.274788558525227,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.5402069467013,5,3.086082556629542,2,0.5402069467013,C_1,frozen/full
0,3.0240386276408566,2.94186980699931,-0.17939365117273498,6,3.2034322788135916,0,0.2615624718142815,A_1,frozen/full
5,3.065458025115656,3.065458025115656,-0.25036530159256376,6,3.3158233267082196,5,0.25036530159256376,A_2,frozen/full
1,3.1744516978438377,3.0896753250356266,-0.2706500308994979,6,3.4451017287433356,1,0.35542640370770906,B_1,frozen/full
4,3.039475191501216,3.039475191501216,-0.3533170164291062,6,3.3927922079303223,4,0.3533170164291062,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.036836724684187416,6,2.582712334612429,2,0.036836724684187416,C_1,frozen/full
0,3.0240386276408566,2.94186980699931,0.017946181085046753,7,3.00609244655581,0,0.06422263955649976,A_1,frozen/full
5,3.065458025115656,3.065458025115656,-0.06159771552525628,7,3.127055740640912,5,0.06159771552525628,A_2,frozen/full
7,2.9992933641529453,2.9992933641529453,,7,2.9992933641529453,7,0.0,A_merge,frozen/full
1,3.1744516978438377,3.0896753250356266,-0.2460181172088296,7,3.4204698150526673,1,0.33079449001704075,B_1,frozen/full
4,3.039475191501216,3.039475191501216,-0.32641663179696234,7,3.3658918232981785,4,0.32641663179696234,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.2255152881521294,7,2.771390898080371,2,0.2255152881521294,C_1,frozen/full
0,3.0240386276408566,2.94186980699931,0.027145774385469945,8,2.9968928532553867,0,0.05502304625607657,A_1,frozen/full
5,3.065458025115656,3.065458025115656,-0.05486881807020527,8,3.120326843185861,5,0.05486881807020527,A_2,frozen/full
7,2.9992933641529453,2.9911098222474792,0.008183541905466107,8,2.9911098222474792,7,0.0,A_merge,frozen/full
1,3.1744516978438377,3.0896753250356266,-0.2460994788015607,8,3.4205511766453984,1,0.33087585160977184,B_1,frozen/full
4,3.039475191501216,3.039475191501216,-0.32592397626495506,8,3.365399167766171,4,0.32592397626495506,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.2282152702649034,8,2.774090880193145,2,0.2282152702649034,C_1,frozen/full
0,3.0240386276408566,2.94186980699931,-0.06130850323606918,9,3.085347130876926,0,0.1434773238776157,A_1,frozen/full
5,3.065458025115656,3.065458025115656,-0.1433161726763612,9,3.208774197792017,5,0.1433161726763612,A_2,frozen/full
7,2.9992933641529453,2.9911098222474792,-0.08033069588502828,9,3.0796240600379736,7,0.08851423779049439,A_merge,frozen/full
1,3.1744516978438377,3.0896753250356266,-0.08289330672767381,9,3.2573450045715115,1,0.16766967953588496,B_1,frozen/full
4,3.039475191501216,3.039475191501216,-0.16005075525221368,9,3.19952594675343,4,0.16005075525221368,B_prime_1,frozen/full
2,2.545875609928242,2.545875609928242,-0.2813365200278435,9,2.8272121299560853,2,0.2813365200278435,C_1,frozen/full
9,3.0861271033378075,3.0861271033378075,,9,3.0861271033378075,9,0.0,E_1,frozen/full
