A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1,checkpoint_task,variant
3.0240386276408566,3.153936613207577,3.012378348346843,3.8468622345006733,3.8001193986770994,3.256636158966026,3.4207364501056867,0,frozen/full
3.3751535104643984,3.466743717672456,3.362078397890776,3.1744516978438377,3.1556389765765265,3.1013150266861405,3.306435680716165,1,frozen/full
3.414830626206465,3.5113621578268703,3.4076690489721115,3.4809609693506953,3.4357373206397073,2.545875609928242,3.407292314212928,2,frozen/full
2.974096974257315,3.1002331116648123,2.9657783710818495,3.5896391597238875,3.540252976566869,2.947077555133295,3.3068325847489426,3,frozen/full
3.259489584752305,3.3589047311758655,3.2508873479246634,3.0896753250356266,3.039475191501216,3.0207370503102093,3.298346617965213,4,frozen/full
2.94186980699931,3.065458025115656,2.9414500030311377,3.370212959370619,3.314263750026443,3.086082556629542,3.331336063902225,5,frozen/full
3.2034322788135916,3.3158233267082196,3.196583468021113,3.4451017287433356,3.3927922079303223,2.582712334612429,3.3341308123214652,6,frozen/full
3.00609244655581,3.127055740640912,2.9992933641529453,3.4204698150526673,3.3658918232981785,2.771390898080371,3.263422659315202,7,frozen/full
2.9968928532553867,3.120326843185861,2.9911098222474792,3.4205511766453984,3.365399167766171,2.774090880193145,3.2720700122536366,8,frozen/full
3.085347130876926,3.208774197792017,3.0796240600379736,3.2573450045715115,3.19952594675343,2.8272121299560853,3.0861271033378075,9,frozen/full
