checkpoint_task,evaluation_scope,first_seen_task,nise_mean,nise_median,regime_id,sequence_count,variant
0,seen_law,0,0.1695148013516787,0.16577345817669742,A_1,64,frozen/full
0,ood_unseen,5,0.1562632745716467,0.15497721675178494,A_2,64,frozen/full
0,ood_unseen,7,0.16192419225782842,0.15864672062033713,A_merge,64,frozen/full
0,ood_unseen,1,0.8185527218969462,0.8186860690885118,B_1,64,frozen/full
0,ood_unseen,4,0.8302995378035695,0.8300991065677282,B_prime_1,64,frozen/full
0,ood_unseen,2,0.6970036305281601,0.6922497306191633,C_1,64,frozen/full
0,ood_unseen,9,0.6742714848548329,0.6768909105260827,E_1,64,frozen/full
0,ood_unseen,6,0.2907168775558198,0.27438508016344426,X_transient,64,frozen/full
1,seen_law,0,0.5894035259272906,0.5810396888035794,A_1,64,frozen/full
1,ood_unseen,5,0.5914978674297748,0.5865211539652054,A_2,64,frozen/full
1,ood_unseen,7,0.586167380545465,0.5838276365254715,A_merge,64,frozen/full
1,seen_law,1,0.2997008412649766,0.30238306122183833,B_1,64,frozen/full
1,ood_unseen,4,0.32978177964209554,0.3278339098384203,B_prime_1,64,frozen/full
1,ood_unseen,2,0.6326968524230443,0.6372499886848721,C_1,64,frozen/full
1,ood_unseen,9,0.6441597130932522,0.6411501492850444,E_1,64,frozen/full
1,ood_unseen,6,0.5899756965020984,0.5856404934493278,X_transient,64,frozen/full
2,seen_law,0,1.0457586120198776,1.0677735487266788,A_1,64,frozen/full
2,ood_unseen,5,1.0796052006669907,1.0983393009664029,A_2,64,frozen/full
2,ood_unseen,7,1.0911377223980954,1.1106845727820756,A_merge,64,frozen/full
2,seen_law,1,0.7809508634725455,0.769627325734939,B_1,64,frozen/full
2,ood_unseen,4,0.7875806606384388,0.7660237987344409,B_prime_1,64,frozen/full
2,seen_law,2,0.03278772749400775,0.03233120542158263,C_1,64,frozen/full
2,ood_unseen,9,1.004737968503262,1.001605361743096,E_1,64,frozen/full
2,ood_unseen,6,1.1157091430255441,1.1369026203919508,X_transient,64,frozen/full
3,seen_law,0,0.0901846606545222,0.0858475246106927,A_1,64,frozen/full
3,ood_unseen,5,0.09674138720380399,0.09628057117926764,A_2,64,frozen/full
3,ood_unseen,7,0.09387555218804908,0.09296149368528203,A_merge,64,frozen/full
3,seen_law,1,0.742973017595988,0.7383771470744371,B_1,64,frozen/full
3,ood_unseen,4,0.7639138115387175,0.756615021973938,B_prime_1,64,frozen/full
3,seen_law,2,0.5690241419932749,0.5681222922929334,C_1,64,frozen/full
3,ood_unseen,9,0.6795781013858299,0.6793314803280974,E_1,64,frozen/full
3,ood_unseen,6,0.28144919679413827,0.258822579553606,X_transient,64,frozen/full
4,seen_law,0,0.5169524738082492,0.5032786462926406,A_1,64,frozen/full
4,ood_unseen,5,0.5155889838306047,0.5012961413072983,A_2,64,frozen/full
4,ood_unseen,7,0.5119999520994967,0.5008789827465863,A_merge,64,frozen/full
4,seen_law,1,0.11190276416527421,0.10856483470842967,B_1,64,frozen/full
4,seen_law,4,0.12033081605777857,0.11534271178363126,B_prime_1,64,frozen/full
4,seen_law,2,0.6092518959261954,0.6086527893859799,C_1,64,frozen/full
4,ood_unseen,9,0.6505392284581633,0.6560023044821806,E_1,64,frozen/full
4,ood_unseen,6,0.5376534963803309,0.5292973326385342,X_transient,64,frozen/full
5,seen_law,0,0.02394880574359525,0.02294984994388214,A_1,64,frozen/full
5,seen_law,5,0.019252290899055554,0.01887453928874967,A_2,64,frozen/full
5,ood_unseen,7,0.020065607814323524,0.019928731815831192,A_merge,64,frozen/full
5,seen_law,1,0.5782542548531898,0.5608319795150003,B_1,64,frozen/full
5,seen_law,4,0.6106816419353124,0.5932954620023813,B_prime_1,64,frozen/full
5,seen_law,2,0.7643911138485555,0.7701816714083425,C_1,64,frozen/full
