anchor_index,checkpoint,checkpoint_task,evaluation_scope,events,first_seen_task,nise,nise_type_0,nise_type_1,nise_type_2,nise_type_3,nise_type_4,nise_type_5,nise_type_6,nise_type_7,plot_path,regime_id,variant
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,62,0,0.1652922830559518,0.16295030021726262,0.17197005969913445,0.09325259990890138,0.16065590574250832,0.15306405068364037,0.181432752494695,0.1713534304746367,0.12423263303597411,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/native/intensity_curves/checkpoint_task_00/A_1_000.png,A_1,frozen/full
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,69,0,0.15444400993808283,0.159537932227489,0.15403886905314101,0.09040941713433236,0.16439398984535258,0.14914406453003295,0.18022006659932083,0.15516543912229472,0.1450271634289603,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/native/intensity_curves/checkpoint_task_00/A_1_001.png,A_1,frozen/full
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,57,0,0.1979885878816059,0.20339976338457483,0.204017986917101,0.09323101590629441,0.24225992334895985,0.12845014755185333,0.2095007374886039,0.13752493012481037,0.1558763780831688,,A_1,frozen/full
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,54,0,0.1746894669945091,0.19947298634050528,0.16869266247714063,0.08719236684906291,0.1899188934262025,0.17396005522896696,0.1828694321688628,0.12313167940177788,0.15083169378624908,,A_1,frozen/full
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,77,0,0.194708917495826,0.19667971950134738,0.22232670957989278,0.085391559746812,0.18958773280697883,0.13298919524170025,0.18148410989443023,0.16309608859535638,0.15287742832106094,,A_1,frozen/full
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,49,0,0.15550140528802678,0.16251263236730126,0.15664173089584876,0.08772929145230765,0.17703285730181176,0.16383442444707413,0.17322885102261193,0.10276683622432843,0.13900728892628866,,A_1,frozen/full
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,79,0,0.16751563547709977,0.1823456238738844,0.15840115393032425,0.06218889913072489,0.18990503600646677,0.17818863663658968,0.17288671207650144,0.1616533101735794,0.11970639391771273,,A_1,frozen/full
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,62,0,0.1781162521930016,0.19260510911771409,0.1696038827585068,0.07541152947889528,0.22490983995037345,0.10621628938192189,0.1832507676303762,0.12285079638800991,0.12067560179113287,,A_1,frozen/full
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,55,0,0.16899701833636221,0.15851030372823588,0.17716935483525656,0.06759070558069911,0.18092995048665825,0.10210119209587139,0.1965071871850588,0.21288026818527667,0.12031521389045059,,A_1,frozen/full
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,77,0,0.17862814275120767,0.2106699477127938,0.19207563173403525,0.08663661501215932,0.18127497998127148,0.17821046416967118,0.18872146473985243,0.15298390937682668,0.17175107676218485,,A_1,frozen/full
10,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,66,0,0.16073145092170452,0.18034930387620002,0.1349325743038447,0.08262224585298467,0.2105974174474383,0.15441325985413482,0.18399152126244592,0.15866948792267827,0.1395033525444787,,A_1,frozen/full
11,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,72,0,0.171035993582181,0.19456605740894795,0.14386419344430518,0.09402170614969052,0.23174015530843256,0.1085370775131458,0.1703053892385676,0.20284550616161248,0.13766593305021171,,A_1,frozen/full
12,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,64,0,0.15782420501294128,0.17014704555517549,0.15136092641422852,0.06422762901281946,0.18411186852208578,0.1395292744716189,0.1780629396765038,0.09787982189188972,0.11337026707777625,,A_1,frozen/full
13,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,53,0,0.19924366912983285,0.265355374195453,0.2097338792090211,0.06806906054232131,0.20595357268271694,0.1500874929928549,0.16796614968996001,0.13368627483105594,0.12383409352193134,,A_1,frozen/full
14,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,72,0,0.1760235920557747,0.18539053496756946,0.17772146392802313,0.09212042119993143,0.2026975144069273,0.13759399868435634,0.17713724721706836,0.12897492601623378,0.13851367680591029,,A_1,frozen/full
15,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,68,0,0.1638810637805893,0.17188181892817866,0.1536910017137972,0.10206200620668388,0.22237840368838968,0.1606128314997489,0.19596039656582948,0.24189365941288807,0.15097350110583763,,A_1,frozen/full
16,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,0,seen_law,78,0,0.20169487715359355,0.23713232705002302,0.18288468154392992,0.0804562869126679,0.17239390614655983,0.12915197152773653,0.19907124668050302,0.1519964881687204,0.14712544209006917,,A_1,frozen/full
