Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.48422,  0.18385,  2.07230
1, validation, -3.43902,  0.26219,  1.97327
2, train, -3.41394,  0.26196,  2.06392
2, validation, -3.38754,  0.26219,  1.97857
3, train, -3.36492,  0.26196,  2.06472
3, validation, -3.34673,  0.26219,  1.97745
4, train, -3.32459,  0.26220,  2.06125
4, validation, -3.31348,  0.26269,  1.97516
5, train, -3.29244,  0.26196,  2.05983
5, validation, -3.28735,  0.26269,  1.97545
6, train, -3.26722,  0.26172,  2.06017
6, validation, -3.26954,  0.26269,  1.97555
7, train, -3.25036,  0.26148,  2.06001
7, validation, -3.25968,  0.26219,  1.97537
8, train, -3.24120,  0.26172,  2.05992
8, validation, -3.25539,  0.26119,  1.97513
9, train, -3.23608,  0.26172,  2.05957
9, validation, -3.25363,  0.26119,  1.97470
10, train, -3.23366,  0.26280,  2.05975
10, validation, -3.25327,  0.26020,  1.97435
11, train, -3.23195,  0.26292,  2.05902
11, validation, -3.25343,  0.26070,  1.97399
12, train, -3.23133,  0.26124,  2.05904
12, validation, -3.25367,  0.26070,  1.97352
13, train, -3.23144,  0.26292,  2.05911
13, validation, -3.25341,  0.26119,  1.97315
14, train, -3.23000,  0.26232,  2.05845
14, validation, -3.25231,  0.26070,  1.97288
15, train, -3.22920,  0.26244,  2.05864
15, validation, -3.25062,  0.26070,  1.97232
16, train, -3.22796,  0.26196,  2.05824
16, validation, -3.24935,  0.26269,  1.97215
17, train, -3.22711,  0.26220,  2.05797
17, validation, -3.24830,  0.26119,  1.97167
18, train, -3.22586,  0.26160,  2.05693
18, validation, -3.24743,  0.26119,  1.97238
19, train, -3.22517,  0.26244,  2.05754
19, validation, -3.24680,  0.26219,  1.97183
20, train, -3.22473,  0.26232,  2.05765
20, validation, -3.24566,  0.26169,  1.97130
