Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-8.662142834813055,,,7997,validation_loglike
1,valid,-6.979712887740029,,,2031,validation_loglike
2,train,-6.57726530261348,,,7997,validation_loglike
2,valid,-4.943740671928853,,,2031,validation_loglike
3,train,-4.818096825372015,,,7997,validation_loglike
3,valid,-3.716554537481536,,,2031,validation_loglike
4,train,-3.6320890841878204,,,7997,validation_loglike
4,valid,-3.4185993564592567,,,2031,validation_loglike
5,train,-3.2724622807771664,,,7997,validation_loglike
5,valid,-3.424732082410143,,,2031,validation_loglike
6,train,-3.2053773094597973,,,7997,validation_loglike
6,valid,-3.492796709595027,,,2031,validation_loglike
7,train,-3.227590473380643,,,7997,validation_loglike
7,valid,-3.486113675529296,,,2031,validation_loglike
8,train,-3.221247030136301,,,7997,validation_loglike
8,valid,-3.444071962703102,,,2031,validation_loglike
9,train,-3.194670169282231,,,7997,validation_loglike
9,valid,-3.409057076255539,,,2031,validation_loglike
10,train,-3.180353277010129,,,7997,validation_loglike
10,valid,-3.403903316946701,,,2031,validation_loglike
11,train,-3.180850533793923,,,7997,validation_loglike
11,valid,-3.4008769829363614,,,2031,validation_loglike
12,train,-3.1737861170595223,,,7997,validation_loglike
12,valid,-3.416540208794929,,,2031,validation_loglike
13,train,-3.174808228867075,,,7997,validation_loglike
13,valid,-3.3766203917405218,,,2031,validation_loglike
14,train,-3.143297633096786,,,7997,validation_loglike
14,valid,-3.338194508554899,,,2031,validation_loglike
15,train,-3.109098529135926,,,7997,validation_loglike
15,valid,-3.3215619326224766,,,2031,validation_loglike
16,train,-3.0803509323808926,,,7997,validation_loglike
16,valid,-3.294457154342073,,,2031,validation_loglike
17,train,-3.0675507221458047,,,7997,validation_loglike
17,valid,-3.277171613429345,,,2031,validation_loglike
18,train,-3.053306122608478,,,7997,validation_loglike
18,valid,-3.2550929345150172,,,2031,validation_loglike
19,train,-3.0383661939633613,,,7997,validation_loglike
19,valid,-3.2560937788497046,,,2031,validation_loglike
20,train,-3.0319665773102416,,,7997,validation_loglike
20,valid,-3.2452542235967505,,,2031,validation_loglike
21,train,-3.0248325543953984,,,7997,validation_loglike
21,valid,-3.264105101397095,,,2031,validation_loglike
22,train,-3.0255584125296986,,,7997,validation_loglike
22,valid,-3.2405971600350814,,,2031,validation_loglike
23,train,-3.010885429692385,,,7997,validation_loglike
23,valid,-3.224460799021418,,,2031,validation_loglike
24,train,-2.9960468574152808,,,7997,validation_loglike
24,valid,-3.2129240425744707,,,2031,validation_loglike
25,train,-2.983628626359885,,,7997,validation_loglike
25,valid,-3.1896368014524863,,,2031,validation_loglike
26,train,-2.9697752868263096,,,7997,validation_loglike
26,valid,-3.1910850566223536,,,2031,validation_loglike
27,train,-2.9578977858884583,,,7997,validation_loglike
27,valid,-3.182680656850074,,,2031,validation_loglike
28,train,-2.950456518850819,,,7997,validation_loglike
28,valid,-3.181387228428114,,,2031,validation_loglike
29,train,-2.9341208031136676,,,7997,validation_loglike
29,valid,-3.168485880954579,,,2031,validation_loglike
30,train,-2.933431335578967,,,7997,validation_loglike
30,valid,-3.1773869764740277,,,2031,validation_loglike
31,train,-2.9380358454733027,,,7997,validation_loglike
31,valid,-3.156251202071024,,,2031,validation_loglike
32,train,-2.9218491113855194,,,7997,validation_loglike
32,valid,-3.1484317300590843,,,2031,validation_loglike
33,train,-2.918278436444917,,,7997,validation_loglike
33,valid,-3.1197070408665684,,,2031,validation_loglike
34,train,-2.9043879736151057,,,7997,validation_loglike
34,valid,-3.1117046136447564,,,2031,validation_loglike
35,train,-2.892967431146055,,,7997,validation_loglike
35,valid,-3.128114325609306,,,2031,validation_loglike
36,train,-2.890284051831937,,,7997,validation_loglike
