Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.51226,  0.00000,  1.12494
1, validation, -3.37176,  0.00000,  1.00258
2, train, -3.34120,  0.00000,  0.98236
2, validation, -3.15124,  0.00000,  0.68567
3, train, -3.12898,  0.00000,  0.69145
3, validation, -2.93554,  0.00000,  0.42631
4, train, -2.94697,  0.33333,  0.46031
4, validation, -2.74212,  0.66667,  0.24731
5, train, -2.74142,  0.66667,  0.43129
5, validation, -2.58098,  1.00000,  0.12463
6, train, -2.54649,  1.00000,  0.16826
6, validation, -2.45406,  1.00000,  0.09242
7, train, -2.43804,  1.00000,  0.24457
7, validation, -2.36226,  1.00000,  0.13569
8, train, -2.29302,  1.00000,  0.14404
8, validation, -2.28090,  1.00000,  0.17485
9, train, -2.36477,  1.00000,  0.15788
9, validation, -2.17985,  1.00000,  0.18762
10, train, -2.34414,  1.00000,  0.28230
10, validation, -2.07008,  1.00000,  0.17679
11, train, -2.20396,  1.00000,  0.20696
11, validation, -1.97659,  1.00000,  0.15567
12, train, -1.94914,  1.00000,  0.17899
12, validation, -1.90725,  1.00000,  0.14822
13, train, -1.95721,  1.00000,  0.18096
13, validation, -1.84677,  1.00000,  0.13843
14, train, -1.87664,  1.00000,  0.12873
14, validation, -1.79198,  1.00000,  0.13878
15, train, -1.88877,  1.00000,  0.20944
15, validation, -1.74378,  1.00000,  0.14173
16, train, -1.89707,  1.00000,  0.15057
16, validation, -1.69999,  1.00000,  0.14833
17, train, -1.73544,  1.00000,  0.14092
17, validation, -1.65742,  1.00000,  0.15335
18, train, -1.72706,  1.00000,  0.15425
18, validation, -1.61763,  1.00000,  0.15735
19, train, -1.70146,  1.00000,  0.16547
19, validation, -1.57936,  1.00000,  0.15666
20, train, -1.66751,  1.00000,  0.16594
20, validation, -1.54295,  1.00000,  0.15514
21, train, -1.61408,  1.00000,  0.18209
21, validation, -1.52551,  1.00000,  0.15323
22, train, -1.60642,  1.00000,  0.17225
22, validation, -1.50866,  1.00000,  0.15037
23, train, -1.55474,  1.00000,  0.19769
23, validation, -1.49191,  1.00000,  0.14476
24, train, -1.53284,  1.00000,  0.12648
24, validation, -1.47527,  1.00000,  0.13895
25, train, -1.51133,  1.00000,  0.14594
25, validation, -1.45890,  1.00000,  0.13202
