checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,2.776750069872492,2.9218730266481434,2.7704307406556374,3.6474859895708462,3.6298592330564188,3.3398983233465778,3.4470762369467924
1,3.4278873391044233,3.4531753204723414,3.41271302466299,2.857785949487533,2.8042392571121204,3.355380381232376,3.3125597300783194
2,3.3263947115965675,3.419843927601667,3.3128662109375,3.4368446659224405,3.4276853484341383,2.379897081677775,3.435944347106539
3,2.7576940000302153,2.8961466851635516,2.75244140625,3.6547567092723567,3.6232425143437723,3.175670100615227,3.3637525348862507
4,3.436390066020063,3.4664377249621117,3.3978970396752453,2.8488938691261088,2.7919342894603156,3.173931263618303,3.3721057620586774
5,2.7645587363276527,2.881208904947588,2.7578694661458334,3.538228757716974,3.4852689177175473,3.2698021140412714,3.359214505765167
6,3.097017483230602,3.1905434019007326,3.090761910232843,3.4320508233936704,3.394465414325843,2.3714116772942835,3.324563533378916
7,2.7548537776468454,2.881326072714069,2.7518145392922793,3.5563322738102374,3.5220063911965096,3.162010241764932,3.3013392163413724
8,2.7463564800126905,2.876501967431801,2.7382525275735294,3.601354825356629,3.5598184803071957,3.22508451358626,3.3133651149148435
9,3.3652848909233746,3.400505819414625,3.3323371438419116,2.9417155377157758,2.899847130498446,3.3837637785183285,2.6572292333571608
