task_id,pre_nll,post_nll,scratch_nll,shift_type,recurrence_of,new_persistent_regimes,adaptation_gain_nll,fwt_nll,fwt_eligible,fwt_status
0,9.416119064455946,2.8013205457089554,,initial,,"[""A_1""]",6.614798518746991,,False,excluded_not_unseen_law_task
1,3.679993863235652,3.005921122628891,9.946764994224221,novel,,"[""B_1""]",0.674072740606761,6.26677113098857,True,available
2,3.3123082202842378,2.390545512354651,7.323788759689922,novel,,"[""C_1""]",0.9217627079295867,4.011480539405684,True,available
3,3.3460498140956165,2.8044955744219653,9.13006344833815,exact_recurrence,A_1,[],0.5415542396736512,,False,excluded_not_unseen_law_task
4,3.5724515313760716,2.657037947554211,8.742859225289966,near_recurrence,B_1,"[""B_prime_1""]",0.9154135838218607,5.170407693913894,True,available
5,3.439331850931385,2.8114198032959106,9.262694822503763,specialization,A_1,"[""A_2""]",0.6279120476354745,5.823362971572378,True,available
6,3.3107269063264058,2.5676889135085577,7.967219017420538,transient_anomaly,C_1,[],0.7430379928178481,,False,excluded_not_unseen_law_task
7,3.1106684180374184,2.8050372182634353,9.092296192240081,merge,A_1|A_2,"[""A_merge""]",0.3056311997739831,5.9816277742026625,True,available
8,2.827896362245516,2.825879332283083,8.972351399660688,long_gap_recurrence,A_1,[],0.0020170299624333587,,False,excluded_not_unseen_law_task
9,3.4585808327635505,2.831233392124565,8.861573843858777,mixture,,"[""E_1""]",0.6273474406389856,5.4029930110952264,True,available
