Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.32754,  0.17868,  1.90397
1, validation, -3.17490,  0.19052,  1.69085
2, train, -3.26541,  0.17443,  1.90708
2, validation, -3.12685,  0.22679,  1.69186
3, train, -3.22035,  0.24216,  1.90525
3, validation, -3.08298,  0.22872,  1.68897
4, train, -3.18002,  0.24303,  1.89937
4, validation, -3.04664,  0.22776,  1.68749
5, train, -3.14535,  0.24216,  1.89342
5, validation, -3.02064,  0.21663,  1.69041
6, train, -3.12279,  0.23879,  1.89095
6, validation, -3.00317,  0.21857,  1.69250
7, train, -3.11041,  0.23979,  1.89122
7, validation, -2.99099,  0.22534,  1.68968
8, train, -3.10105,  0.24103,  1.88960
8, validation, -2.98564,  0.22485,  1.69169
9, train, -3.09416,  0.24128,  1.88854
9, validation, -2.98232,  0.22002,  1.69557
10, train, -3.08945,  0.23929,  1.88657
10, validation, -2.97704,  0.22631,  1.69039
11, train, -3.08506,  0.24291,  1.88439
11, validation, -2.97023,  0.22582,  1.68355
12, train, -3.08094,  0.24091,  1.88278
12, validation, -2.96530,  0.22485,  1.68167
13, train, -3.07775,  0.24053,  1.87925
13, validation, -2.96226,  0.22485,  1.68454
14, train, -3.07302,  0.24116,  1.87506
14, validation, -2.95819,  0.22582,  1.68189
15, train, -3.06911,  0.24341,  1.87281
15, validation, -2.95261,  0.22582,  1.67748
16, train, -3.06278,  0.24341,  1.86800
16, validation, -2.94901,  0.22631,  1.67527
17, train, -3.05645,  0.24066,  1.86326
17, validation, -2.94684,  0.22389,  1.67769
18, train, -3.04978,  0.24278,  1.86037
18, validation, -2.94335,  0.22727,  1.67924
19, train, -3.04591,  0.24316,  1.85869
19, validation, -2.93881,  0.22679,  1.67331
20, train, -3.03822,  0.24491,  1.85373
20, validation, -2.93223,  0.22582,  1.66959
