Epoch,Split,Log-likelihood,RMSE,Accuracy,NumEvents,RMSE NumEvents,LearningRate
1,train,-4.890361531575521,3.6218549743748225,0.2,15,15,0.001
1,valid,-4.890361531575521,4.2496079207932524,0.2,15,15,0.001
2,train,-4.7654780069986975,3.508095379972868,0.26666666666666666,15,15,0.001
2,valid,-4.7654780069986975,4.216379542369555,0.2,15,15,0.001
3,train,-4.656232706705729,3.3915795267394095,0.26666666666666666,15,15,0.001
3,valid,-4.656232706705729,4.116332903676916,0.2,15,15,0.001
4,train,-4.558021036783854,3.298019986553406,0.26666666666666666,15,15,0.001
4,valid,-4.558021036783854,4.0023159951702105,0.2,15,15,0.001
5,train,-4.465914916992188,3.212424255348936,0.26666666666666666,15,15,0.001
5,valid,-4.465914916992188,3.890620685866082,0.2,15,15,0.001
6,train,-4.382192993164063,3.142648569427463,0.26666666666666666,15,15,0.001
6,valid,-4.382192993164063,3.787965100963813,0.2,15,15,0.001
7,train,-4.305810546875,3.086656693620273,0.2,15,15,0.001
7,valid,-4.305810546875,3.681077232257393,0.2,15,15,0.001
8,train,-4.231658172607422,3.0595494595622754,0.2,15,15,0.001
8,valid,-4.231658172607422,3.623390699936735,0.13333333333333333,15,15,0.001
9,train,-4.160258483886719,3.05764738977884,0.2,15,15,0.001
9,valid,-4.160258483886719,3.586336754961388,0.2,15,15,0.001
10,train,-4.092084248860677,2.7387115909466293,0.2,15,15,0.001
10,valid,-4.092084248860677,3.5630864603175034,0.26666666666666666,15,15,0.001
11,train,-4.02695566813151,2.749921762914072,0.2,15,15,0.001
11,valid,-4.02695566813151,3.5441101501201815,0.2,15,15,0.001
12,train,-3.963603719075521,2.7481872132342757,0.2,15,15,0.001
12,valid,-3.963603719075521,3.5277829414656954,0.2,15,15,0.001
13,train,-3.903150431315104,2.745482832709125,0.13333333333333333,15,15,0.001
13,valid,-3.903150431315104,3.5147274606605494,0.26666666666666666,15,15,0.001
14,train,-3.8479436238606772,2.7443504794461764,0.13333333333333333,15,15,0.001
14,valid,-3.8479436238606772,3.5045226894113495,0.26666666666666666,15,15,0.001
15,train,-3.799455261230469,2.737830220225251,0.2,15,15,0.001
15,valid,-3.799455261230469,3.4973041142726395,0.3333333333333333,15,15,0.001
16,train,-3.7574183146158853,2.753363015274268,0.2,15,15,0.001
16,valid,-3.7574183146158853,3.4948508032595997,0.3333333333333333,15,15,0.001
17,train,-3.718799336751302,2.7291134273393354,0.26666666666666666,15,15,0.001
17,valid,-3.718799336751302,3.480724919257721,0.3333333333333333,15,15,0.001
18,train,-3.6812037150065104,2.7425749444356766,0.26666666666666666,15,15,0.001
18,valid,-3.6812037150065104,3.489408762346737,0.3333333333333333,15,15,0.001
19,train,-3.644200388590495,2.754848113906938,0.3333333333333333,15,15,0.001
19,valid,-3.644200388590495,3.5002357040239387,0.3333333333333333,15,15,0.001
20,train,-3.6080553690592447,2.765719712067032,0.4,15,15,0.001
20,valid,-3.6080553690592447,3.5106714233567113,0.26666666666666666,15,15,0.001
21,train,-3.5730664571126303,2.775091569552443,0.3333333333333333,15,15,0.001
21,valid,-3.5730664571126303,3.5192329576701176,0.26666666666666666,15,15,0.001
22,train,-3.539631652832031,2.5981055767406036,0.3333333333333333,15,15,0.001
22,valid,-3.539631652832031,3.5253290550371412,0.26666666666666666,15,15,0.001
23,train,-3.508370208740234,2.6033178629722826,0.4,15,15,0.001
23,valid,-3.508370208740234,3.5289886345633934,0.26666666666666666,15,15,0.001
24,train,-3.4800237019856772,2.6071564218027645,0.4,15,15,0.001
24,valid,-3.4800237019856772,3.5306483113406233,0.3333333333333333,15,15,0.001
25,train,-3.455189514160156,2.6094391287653695,0.4,15,15,0.001
25,valid,-3.455189514160156,3.530945351211512,0.3333333333333333,15,15,0.001
