checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,2.781597474014987,2.9329943443735793,2.783737122778799,3.711379072015104,3.6957682136026775,3.277958325990131,3.3939361344635754
1,3.42061847541999,3.4614540248484467,3.4013286515778187,2.8549883121553585,2.8003288048350465,3.384110244168162,3.2794377020139236
2,3.389011087064902,3.4812689441778226,3.370373774509804,3.5502642876408537,3.5338890300023906,2.361728913659959,3.4840433281016905
3,2.757285151528886,2.8956984876231373,2.756569536994485,3.6416874887616877,3.6220331923858473,3.1957155416880285,3.3891091671587517
4,3.300913913312787,3.3522640265849963,3.2802645814185047,2.8456909501618317,2.791852345057375,3.20099138241797,3.353452981259324
5,2.760845343848199,2.8856166329881283,2.7615859087775734,3.5287611821205944,3.5017976407482667,3.210278364121379,3.344003488625062
6,3.1081201278100075,3.2179959329218235,3.108200252757353,3.5232071146008153,3.493390985461989,2.36342744648808,3.4482193638115364
7,2.7426114560671984,2.8748307850783026,2.7397140203737744,3.5143906587149365,3.456127760429118,3.0533502026723918,3.281367517715067
8,2.743437651075659,2.8806822666708767,2.7388865751378675,3.5208557319138096,3.4761474084090365,3.0837430506600874,3.291553681315266
9,3.2889928635635726,3.3459890143502147,3.2611007391237745,2.931240728392472,2.8840075809078414,3.2812272193828504,2.6615385399832174
