checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,2.781597474014987,2.781597474014987,2.781597474014987,0.0,
1,A_1,0,0,2.781597474014987,3.42061847541999,2.781597474014987,0.6390210014050033,-0.6390210014050033
1,B_1,1,1,2.8549883121553585,2.8549883121553585,2.8549883121553585,0.0,
2,A_1,0,0,2.781597474014987,3.389011087064902,2.781597474014987,0.607413613049915,-0.607413613049915
2,B_1,1,1,2.8549883121553585,3.5502642876408537,2.8549883121553585,0.6952759754854951,-0.6952759754854951
2,C_1,2,2,2.361728913659959,2.361728913659959,2.361728913659959,0.0,
3,A_1,0,0,2.781597474014987,2.757285151528886,2.757285151528886,0.0,0.024312322486101046
3,B_1,1,1,2.8549883121553585,3.6416874887616877,2.8549883121553585,0.7866991766063292,-0.7866991766063292
3,C_1,2,2,2.361728913659959,3.1957155416880285,2.361728913659959,0.8339866280280694,-0.8339866280280694
4,A_1,0,0,2.781597474014987,3.300913913312787,2.757285151528886,0.5436287617839013,-0.5193164392978002
4,B_1,1,1,2.8549883121553585,2.8456909501618317,2.8456909501618317,0.0,0.00929736199352682
4,B_prime_1,4,4,2.791852345057375,2.791852345057375,2.791852345057375,0.0,
4,C_1,2,2,2.361728913659959,3.20099138241797,2.361728913659959,0.8392624687580108,-0.8392624687580108
5,A_1,0,0,2.781597474014987,2.760845343848199,2.757285151528886,0.003560192319313149,0.020752130166787897
5,A_2,5,5,2.8856166329881283,2.8856166329881283,2.8856166329881283,0.0,
5,B_1,1,1,2.8549883121553585,3.5287611821205944,2.8456909501618317,0.6830702319587627,-0.6737728699652359
5,B_prime_1,4,4,2.791852345057375,3.5017976407482667,2.791852345057375,0.7099452956908916,-0.7099452956908916
5,C_1,2,2,2.361728913659959,3.210278364121379,2.361728913659959,0.8485494504614199,-0.8485494504614199
6,A_1,0,0,2.781597474014987,3.1081201278100075,2.757285151528886,0.3508349762811216,-0.32652265379502055
6,A_2,5,5,2.8856166329881283,3.2179959329218235,2.8856166329881283,0.3323792999336952,-0.3323792999336952
6,B_1,1,1,2.8549883121553585,3.5232071146008153,2.8456909501618317,0.6775161644389835,-0.6682188024454567
6,B_prime_1,4,4,2.791852345057375,3.493390985461989,2.791852345057375,0.701538640404614,-0.701538640404614
6,C_1,2,2,2.361728913659959,2.36342744648808,2.361728913659959,0.0016985328281209355,-0.0016985328281209355
7,A_1,0,0,2.781597474014987,2.7426114560671984,2.7426114560671984,0.0,0.038986017947788554
7,A_2,5,5,2.8856166329881283,2.8748307850783026,2.8748307850783026,0.0,0.01078584790982573
7,A_merge,7,7,2.7397140203737744,2.7397140203737744,2.7397140203737744,0.0,
7,B_1,1,1,2.8549883121553585,3.5143906587149365,2.8456909501618317,0.6686997085531048,-0.659402346559578
7,B_prime_1,4,4,2.791852345057375,3.456127760429118,2.791852345057375,0.6642754153717427,-0.6642754153717427
7,C_1,2,2,2.361728913659959,3.0533502026723918,2.361728913659959,0.6916212890124327,-0.6916212890124327
8,A_1,0,0,2.781597474014987,2.743437651075659,2.7426114560671984,0.0008261950084604841,0.03815982293932807
8,A_2,5,5,2.8856166329881283,2.8806822666708767,2.8748307850783026,0.005851481592574093,0.004934366317251637
8,A_merge,7,7,2.7397140203737744,2.7388865751378675,2.7388865751378675,0.0,0.0008274452359069429
8,B_1,1,1,2.8549883121553585,3.5208557319138096,2.8456909501618317,0.6751647817519779,-0.6658674197584511
8,B_prime_1,4,4,2.791852345057375,3.4761474084090365,2.791852345057375,0.6842950633516613,-0.6842950633516613
8,C_1,2,2,2.361728913659959,3.0837430506600874,2.361728913659959,0.7220141370001283,-0.7220141370001283
9,A_1,0,0,2.781597474014987,3.2889928635635726,2.7426114560671984,0.5463814074963742,-0.5073953895485857
9,A_2,5,5,2.8856166329881283,3.3459890143502147,2.8748307850783026,0.4711582292719121,-0.46037238136208636
9,A_merge,7,7,2.7397140203737744,3.2611007391237745,2.7388865751378675,0.522214163985907,-0.5213867187500001
9,B_1,1,1,2.8549883121553585,2.931240728392472,2.8456909501618317,0.08554977823064025,-0.07625241623711343
9,B_prime_1,4,4,2.791852345057375,2.8840075809078414,2.791852345057375,0.09215523585046625,-0.09215523585046625
9,C_1,2,2,2.361728913659959,3.2812272193828504,2.361728913659959,0.9194983057228914,-0.9194983057228914
9,E_1,9,9,2.6615385399832174,2.6615385399832174,2.6615385399832174,0.0,
