checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,2.781597474014987,0.0,,0
1,2,3.1378033937876744,0.31951050070250164,-0.6390210014050033,1
2,3,3.1003347627885716,0.4342298628451367,-0.6513447942677051,2
3,3,3.1982293939928677,0.5402286015447996,-0.5321244940494325,3
4,4,3.034862147737491,0.345722807635478,-0.4497605153540947,3
5,5,3.1774598327653134,0.44902503408607747,-0.5528788714876899,4
6,5,3.141228321456543,0.4127935227773071,-0.4060715858813815,5
7,6,3.0635041472226203,0.3374327354895467,-0.39310543701722783,5
8,6,3.0739587806445563,0.34802527645080034,-0.338042497602959,6
9,7,3.093442383671992,0.3767081600797416,-0.42951007457852386,6
