checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,online_write/full,online_write,full,3.054226779163011,0.32479848269321954,1.3550923914176527,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,online_write/full,online_write,full,3.8795616032976756,0.08237547892720307,1.6629130213781906,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,online_write/full,online_write,full,3.296680492773595,0.24616858237547892,1.3342298296462187,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,online_write/full,online_write,full,3.089694878354434,0.1916624300965938,1.058157751833841,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,online_write/full,online_write,full,2.554661070985741,0.3940010167768175,0.9645080804203632,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.4426047929529053,0.08918406072106262,1.2664397749441796,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.0210637580656376,0.3277988614800759,1.2590812091024541,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,3.4563497279772983,0.07295285359801489,1.37253278361162,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,2.9108447466369154,0.2660049627791563,1.1332551167600744,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,online_write/full,online_write,full,3.2956130195105517,0.25876543209876546,1.3419300627956787,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,online_write/full,online_write,full,2.988048053221938,0.38320987654320987,1.2726747152494429,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,online_write/full,online_write,full,3.19741647235321,0.1242176215695715,1.10637904411441,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,online_write/full,online_write,full,2.777782594957279,0.34232065479056334,1.0411151626744148,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,online_write/full,online_write,full,3.2511980912942318,0.14384577360355907,1.2525807419677646,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,online_write/full,online_write,full,3.0659556832925055,0.30103806228373703,1.2417064754069551,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,3.0629602809538863,0.3088305489260143,1.1970070544167961,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,3.055688053149028,0.3164677804295943,1.1952236429310286,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.388431532296607,0.11992168379833579,1.257771063247733,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.210881568575337,0.19334312285854136,1.1937637075278553,2043
