Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.87079,  0.06537,  2.14006
1, validation, -3.76566,  0.06900,  2.11131
2, train, -3.77992,  0.15651,  2.13810
2, validation, -3.67671,  0.27093,  2.09297
3, train, -3.69345,  0.24840,  2.12413
3, validation, -3.58026,  0.27093,  2.07416
4, train, -3.60518,  0.24901,  2.11766
4, validation, -3.48208,  0.27245,  2.06567
5, train, -3.51997,  0.24383,  2.11889
5, validation, -3.39060,  0.25824,  2.06409
6, train, -3.44938,  0.24075,  2.12368
6, validation, -3.32797,  0.25622,  2.06348
7, train, -3.40469,  0.24519,  2.11997
7, validation, -3.28501,  0.26129,  2.06380
8, train, -3.37177,  0.25012,  2.11519
8, validation, -3.25796,  0.27245,  2.06925
9, train, -3.35236,  0.24001,  2.11499
9, validation, -3.24135,  0.25926,  2.06996
10, train, -3.33995,  0.25074,  2.11530
10, validation, -3.23678,  0.27042,  2.07138
11, train, -3.33722,  0.24877,  2.11487
11, validation, -3.23353,  0.27042,  2.06707
12, train, -3.33587,  0.24544,  2.11426
12, validation, -3.23337,  0.26788,  2.06763
13, train, -3.33548,  0.24889,  2.11328
13, validation, -3.23233,  0.27042,  2.06711
14, train, -3.33528,  0.25123,  2.11338
14, validation, -3.23130,  0.27194,  2.06653
15, train, -3.33448,  0.25037,  2.11288
15, validation, -3.23136,  0.26738,  2.06960
16, train, -3.33333,  0.24901,  2.11303
16, validation, -3.23270,  0.27397,  2.07227
17, train, -3.33206,  0.24494,  2.11114
17, validation, -3.23076,  0.26230,  2.06566
18, train, -3.32984,  0.25148,  2.10945
18, validation, -3.22808,  0.27144,  2.06341
19, train, -3.32900,  0.24975,  2.11090
19, validation, -3.22807,  0.26738,  2.06783
20, train, -3.32753,  0.25049,  2.10788
20, validation, -3.22592,  0.26433,  2.06638
