Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.5301049984643735,,,8140,validation_loglike
1,valid,-3.0639390940734352,,,2029,validation_loglike
2,train,-3.0776084056357496,,,8140,validation_loglike
2,valid,-3.0906573916492115,,,2029,validation_loglike
3,train,-3.0999052230497544,,,8140,validation_loglike
3,valid,-3.029797910762691,,,2029,validation_loglike
4,train,-3.0525381027334153,,,8140,validation_loglike
4,valid,-2.943750673823312,,,2029,validation_loglike
5,train,-2.962255739404177,,,8140,validation_loglike
5,valid,-2.8790417366159438,,,2029,validation_loglike
6,train,-2.888527910012285,,,8140,validation_loglike
6,valid,-2.888240628080335,,,2029,validation_loglike
7,train,-2.888570619625307,,,8140,validation_loglike
7,valid,-2.956068885919788,,,2029,validation_loglike
8,train,-2.922559793458231,,,8140,validation_loglike
8,valid,-2.9139946363664366,,,2029,validation_loglike
9,train,-2.896730555128993,,,8140,validation_loglike
9,valid,-3.048990083246057,,,2029,validation_loglike
10,train,-3.021501650798526,,,8140,validation_loglike
10,valid,-3.1364569215130604,,,2029,validation_loglike
11,train,-3.1009708039004913,,,8140,validation_loglike
11,valid,-2.9890737143451207,,,2029,validation_loglike
12,train,-2.9651024070945944,,,8140,validation_loglike
12,valid,-2.8807361615943816,,,2029,validation_loglike
13,train,-2.8789628762285013,,,8140,validation_loglike
13,valid,-2.8509493207861016,,,2029,validation_loglike
14,train,-2.84903351504914,,,8140,validation_loglike
14,valid,-2.920664524550271,,,2029,validation_loglike
15,train,-2.9119121429668304,,,8140,validation_loglike
15,valid,-2.919744755729423,,,2029,validation_loglike
16,train,-2.908519847972973,,,8140,validation_loglike
16,valid,-2.848430665506407,,,2029,validation_loglike
17,train,-2.8631204890970516,,,8140,validation_loglike
17,valid,-2.8075209270268604,,,2029,validation_loglike
18,train,-2.8170785664926288,,,8140,validation_loglike
18,valid,-2.8417862863479546,,,2029,validation_loglike
19,train,-2.8449211551750615,,,8140,validation_loglike
19,valid,-2.888845143851651,,,2029,validation_loglike
20,train,-2.8765140317874693,,,8140,validation_loglike
20,valid,-2.900692642234475,,,2029,validation_loglike
21,train,-2.883645097512285,,,8140,validation_loglike
21,valid,-2.859885661810005,,,2029,validation_loglike
22,train,-2.8518672258906634,,,8140,validation_loglike
22,valid,-2.8154941820170034,,,2029,validation_loglike
23,train,-2.8008719479422606,,,8140,validation_loglike
23,valid,-2.7980101516294975,,,2029,validation_loglike
24,train,-2.783450984720516,,,8140,validation_loglike
24,valid,-2.8500204072203057,,,2029,validation_loglike
25,train,-2.8166807432432432,,,8140,validation_loglike
25,valid,-2.772427727636767,,,2029,validation_loglike
26,train,-2.7635857359490172,,,8140,validation_loglike
26,valid,-2.7525453675609906,,,2029,validation_loglike
27,train,-2.750499558507371,,,8140,validation_loglike
27,valid,-2.745371315149088,,,2029,validation_loglike
28,train,-2.748539235257985,,,8140,validation_loglike
28,valid,-2.7475754393327994,,,2029,validation_loglike
29,train,-2.74681261517199,,,8140,validation_loglike
29,valid,-2.7479188485707247,,,2029,validation_loglike
30,train,-2.7512937653562655,,,8140,validation_loglike
30,valid,-2.749635654109167,,,2029,validation_loglike
31,train,-2.7541099604576167,,,8140,validation_loglike
31,valid,-2.744959801626417,,,2029,validation_loglike
32,train,-2.744468625230344,,,8140,validation_loglike
32,valid,-2.739310274457861,,,2029,validation_loglike
33,train,-2.744619788467445,,,8140,validation_loglike
33,valid,-2.731989665475604,,,2029,validation_loglike
34,train,-2.7306419878685504,,,8140,validation_loglike
34,valid,-2.7358850861723756,,,2029,validation_loglike
