Epoch,Split,Log-likelihood,RMSE,Accuracy,NumEvents,RMSE NumEvents,LearningRate
1,train,-2.5062074661254883,0.8492109043913512,1.0,1,1,0.001
1,valid,-2.5062074661254883,1.1503305208991075,0.0,1,1,0.001
2,train,-2.3832011222839355,0.8396688589703737,1.0,1,1,0.001
2,valid,-2.3832011222839355,1.148034109256842,0.0,1,1,0.001
3,train,-2.270521402359009,0.8324481116840814,1.0,1,1,0.001
3,valid,-2.270521402359009,1.1462962631490805,1.0,1,1,0.001
4,train,-2.1681597232818604,0.8277677449173797,1.0,1,1,0.001
4,valid,-2.1681597232818604,1.1451699619666817,1.0,1,1,0.001
5,train,-2.076127529144287,0.825579636141155,1.0,1,1,0.001
5,valid,-2.076127529144287,1.1446433158926304,1.0,1,1,0.001
6,train,-1.9943265914916992,0.8255354862938368,1.0,1,1,0.001
6,valid,-1.9943265914916992,1.1446326930166757,1.0,1,1,0.001
7,train,-1.9224538803100586,0.8271572648515283,1.0,1,1,0.001
7,valid,-1.9224538803100586,1.1450229669124896,1.0,1,1,0.001
8,train,-1.860002040863037,0.8299062393842909,1.0,1,1,0.001
8,valid,-1.860002040863037,1.1456846082864292,1.0,1,1,0.001
9,train,-1.8061809539794922,0.8331224333601247,1.0,1,1,0.001
9,valid,-1.8061809539794922,1.1464586401265477,1.0,1,1,0.001
10,train,-1.7599372863769531,0.8360867589873222,1.0,1,1,0.001
10,valid,-1.7599372863769531,1.1471719840633738,1.0,1,1,0.001
11,train,-1.7199474573135376,0.8380496356598942,1.0,1,1,0.001
11,valid,-1.7199474573135376,1.1476443919172317,1.0,1,1,0.001
12,train,-1.684785008430481,0.8384199271278189,1.0,1,1,0.001
12,valid,-1.684785008430481,1.147733563441111,1.0,1,1,0.001
13,train,-1.6532268524169922,0.8369029877863555,1.0,1,1,0.001
13,valid,-1.6532268524169922,1.1473684200568224,1.0,1,1,0.001
14,train,-1.6244001388549805,0.8334344484654543,1.0,1,1,0.001
14,valid,-1.6244001388549805,1.1465337115562386,1.0,1,1,0.001
15,train,-1.597760558128357,0.8280693971212932,1.0,1,1,0.001
15,valid,-1.597760558128357,1.145242567646564,1.0,1,1,0.001
16,train,-1.5730277299880981,0.8209403042551159,1.0,1,1,0.001
16,valid,-1.5730277299880981,1.1435268017555658,1.0,1,1,0.001
17,train,-1.5501022338867188,0.8122401188665893,1.0,1,1,0.001
17,valid,-1.5501022338867188,1.1414331160144033,1.0,1,1,0.001
18,train,-1.5289818048477173,0.8022060837058709,1.0,1,1,0.001
18,valid,-1.5289818048477173,1.1390182988888073,1.0,1,1,0.001
19,train,-1.5096983909606934,0.7911157615292175,1.0,1,1,0.001
19,valid,-1.5096983909606934,1.1363491755345705,1.0,1,1,0.001
20,train,-1.4922653436660767,0.7792791302412697,1.0,1,1,0.001
20,valid,-1.4922653436660767,1.1335005676544074,1.0,1,1,0.001
21,train,-1.4766473770141602,0.7670394910073213,1.0,1,1,0.001
21,valid,-1.4766473770141602,1.130555054297142,1.0,1,1,0.001
22,train,-1.4627491235733032,0.7547705247279923,1.0,1,1,0.001
22,valid,-1.4627491235733032,1.1276023224543172,1.0,1,1,0.001
23,train,-1.4504148960113525,0.7428693751032809,1.0,1,1,0.001
23,valid,-1.4504148960113525,1.124738238929227,1.0,1,1,0.001
24,train,-1.4394400119781494,0.7317339705733915,1.0,1,1,0.001
24,valid,-1.4394400119781494,1.122058413503053,1.0,1,1,0.001
25,train,-1.4295947551727295,0.7217357236918912,1.0,1,1,0.001
25,valid,-1.4295947551727295,1.1196521701716586,1.0,1,1,0.001
