checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.5796337069136475,0.0703659976387249,1.2396596275788976
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.8503120874546815,0.28524590163934427,0.9554212606268904
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.5263859421218284,0.0744054626795385,1.2523936556175452
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.1656469202385358,0.2182450907283122,1.181340424065681
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.1491110758812066,0.17130620985010706,1.0886135487053867
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.034621860990193,0.23407335907335908,1.1148953290519568
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.283829620406141,0.21316691140479688,1.0252635631850695
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.2117345456252977,0.20971197333968103,1.2512109330142573
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.081055096442753,0.2585596221959858,1.1370636360141435
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_C_1,C_1,fast_adapt/full,fast_adapt,full,2.948176270685761,0.19470365699873896,0.9445814260167703
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_B_prime_1,B_prime_1,fast_adapt/full,fast_adapt,full,3.027948401522743,0.25712267482929124,1.1465742934415388
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_A_2,A_2,fast_adapt/full,fast_adapt,full,3.3146465831569794,0.1904051702709421,1.2506706243482302
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_X_transient,X_transient,fast_adapt/full,fast_adapt,full,3.269654064555126,0.15917201998572447,1.154612083534896
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_A_merge,A_merge,fast_adapt/full,fast_adapt,full,3.204300950392793,0.2150096525096525,1.1841164380887301
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,anchor_E_1,E_1,fast_adapt/full,fast_adapt,full,3.2535239213597116,0.16030347528144884,1.0587844745936605
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_A_1,A_1,fast_adapt/full,fast_adapt,full,3.007663833047912,0.31992382766008093,1.1726190071678027
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,anchor_B_1,B_1,fast_adapt/full,fast_adapt,full,3.2297748966509787,0.22621015348288076,1.1749407339264961
