Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.05592,  0.34762,  1.97925
1, validation, -2.95604,  0.35566,  1.85078
2, train, -3.03360,  0.34688,  1.96801
2, validation, -2.95257,  0.36096,  1.84945
3, train, -3.02339,  0.35392,  1.96576
3, validation, -2.94835,  0.36386,  1.84796
4, train, -3.01610,  0.35442,  1.96155
4, validation, -2.94570,  0.36289,  1.84894
5, train, -3.00995,  0.35689,  1.95937
5, validation, -2.94388,  0.36819,  1.84701
6, train, -3.00649,  0.35652,  1.95787
6, validation, -2.94497,  0.36578,  1.84754
7, train, -3.00086,  0.35899,  1.95471
7, validation, -2.94614,  0.37012,  1.84765
8, train, -3.00023,  0.36010,  1.95475
8, validation, -2.94389,  0.36675,  1.84706
9, train, -2.99098,  0.35923,  1.95229
9, validation, -2.94782,  0.37157,  1.85027
10, train, -2.98968,  0.35664,  1.95043
10, validation, -2.94428,  0.36482,  1.84861
11, train, -2.98638,  0.36170,  1.95202
11, validation, -2.94804,  0.36867,  1.85000
12, train, -2.97673,  0.36232,  1.94375
12, validation, -2.94927,  0.36723,  1.85141
13, train, -2.97668,  0.36430,  1.94526
13, validation, -2.94571,  0.36771,  1.84916
14, train, -2.97323,  0.36479,  1.94289
14, validation, -2.95185,  0.36867,  1.85090
15, train, -2.96708,  0.36467,  1.94057
15, validation, -2.94891,  0.36434,  1.85168
16, train, -2.96142,  0.36850,  1.93811
16, validation, -2.95921,  0.36337,  1.85350
17, train, -2.95810,  0.36776,  1.93640
17, validation, -2.95184,  0.36723,  1.84950
18, train, -2.95189,  0.36825,  1.93071
18, validation, -2.96609,  0.36048,  1.85283
19, train, -2.94287,  0.36677,  1.92550
19, validation, -2.95648,  0.36145,  1.85098
20, train, -2.94159,  0.37196,  1.92900
20, validation, -2.97622,  0.35663,  1.85486
21, train, -2.93791,  0.37221,  1.92222
21, validation, -2.96303,  0.35807,  1.85120
22, train, -2.93021,  0.37505,  1.92024
22, validation, -2.96694,  0.35518,  1.85215
23, train, -2.92758,  0.37196,  1.91807
23, validation, -2.97145,  0.36482,  1.85305
24, train, -2.92473,  0.37431,  1.91662
24, validation, -2.97012,  0.35566,  1.85308
25, train, -2.91903,  0.37653,  1.91450
25, validation, -2.97342,  0.35663,  1.85357
