Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.52447,  0.00000,  1.40857
1, validation, -3.50946,  0.00000,  1.40021
2, train, -3.48816,  0.00000,  1.40185
2, validation, -3.47723,  0.00000,  1.39019
3, train, -3.45554,  0.00000,  1.38765
3, validation, -3.44442,  0.06667,  1.38031
4, train, -3.43253,  0.00000,  1.37650
4, validation, -3.41081,  0.06667,  1.37035
5, train, -3.39224,  0.00000,  1.36748
5, validation, -3.37661,  0.13333,  1.36032
6, train, -3.36751,  0.13333,  1.35629
6, validation, -3.34188,  0.46667,  1.35033
7, train, -3.34059,  0.46667,  1.35278
7, validation, -3.30668,  0.46667,  1.34061
8, train, -3.29471,  0.46667,  1.33964
8, validation, -3.27106,  0.46667,  1.33139
9, train, -3.25893,  0.46667,  1.32897
9, validation, -3.23495,  0.46667,  1.32282
10, train, -3.22892,  0.46667,  1.31937
10, validation, -3.19833,  0.46667,  1.31492
11, train, -3.19332,  0.46667,  1.31086
11, validation, -3.16116,  0.46667,  1.30774
12, train, -3.15074,  0.46667,  1.30682
12, validation, -3.12342,  0.46667,  1.30126
13, train, -3.11553,  0.46667,  1.30019
13, validation, -3.08512,  0.46667,  1.29547
14, train, -3.07611,  0.46667,  1.29521
14, validation, -3.04628,  0.46667,  1.29038
15, train, -3.03439,  0.46667,  1.29123
15, validation, -3.00697,  0.46667,  1.28602
16, train, -2.99788,  0.46667,  1.28936
16, validation, -2.96725,  0.46667,  1.28236
17, train, -2.96289,  0.46667,  1.28515
17, validation, -2.92722,  0.46667,  1.27937
18, train, -2.91459,  0.40000,  1.27752
18, validation, -2.88702,  0.46667,  1.27702
19, train, -2.87896,  0.46667,  1.27626
19, validation, -2.84687,  0.46667,  1.27526
20, train, -2.85426,  0.46667,  1.27476
20, validation, -2.80702,  0.46667,  1.27403
