Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.28662,  0.28146,  2.05396
1, validation, -3.15267,  0.33318,  1.99467
2, train, -3.18207,  0.33574,  2.03135
2, validation, -3.11427,  0.33648,  1.97419
3, train, -3.15757,  0.34383,  2.02539
3, validation, -3.10546,  0.34499,  1.97034
4, train, -3.14243,  0.34545,  2.02064
4, validation, -3.09669,  0.34405,  1.96499
5, train, -3.13172,  0.34894,  2.01755
5, validation, -3.08778,  0.34405,  1.96583
6, train, -3.12471,  0.34769,  2.01352
6, validation, -3.07820,  0.34735,  1.95878
7, train, -3.11899,  0.34844,  2.01007
7, validation, -3.07837,  0.34168,  1.96261
8, train, -3.11084,  0.35018,  2.00754
8, validation, -3.07505,  0.35255,  1.95907
9, train, -3.10765,  0.34806,  2.00526
9, validation, -3.07387,  0.35255,  1.96071
10, train, -3.10303,  0.35578,  2.00375
10, validation, -3.07179,  0.35113,  1.95965
11, train, -3.09828,  0.35603,  2.00308
11, validation, -3.06950,  0.35302,  1.96072
12, train, -3.09600,  0.35665,  2.00012
12, validation, -3.06792,  0.35350,  1.95874
13, train, -3.09008,  0.35952,  1.99784
13, validation, -3.06770,  0.36059,  1.96232
14, train, -3.08374,  0.35616,  1.99551
14, validation, -3.06901,  0.35633,  1.96173
15, train, -3.08076,  0.35977,  1.99408
15, validation, -3.06615,  0.35350,  1.96097
16, train, -3.07714,  0.36201,  1.99181
16, validation, -3.06651,  0.35870,  1.96268
17, train, -3.07495,  0.36076,  1.99221
17, validation, -3.06736,  0.35255,  1.96327
18, train, -3.06962,  0.36363,  1.98840
18, validation, -3.06462,  0.35539,  1.96032
19, train, -3.06320,  0.36599,  1.98582
19, validation, -3.06964,  0.35066,  1.96347
20, train, -3.06293,  0.36412,  1.98409
20, validation, -3.07074,  0.35350,  1.96841
21, train, -3.05891,  0.36313,  1.98389
21, validation, -3.06690,  0.35066,  1.96201
22, train, -3.05693,  0.36898,  1.98455
22, validation, -3.06645,  0.35350,  1.96161
23, train, -3.05560,  0.36910,  1.98226
23, validation, -3.06852,  0.35302,  1.96935
24, train, -3.04889,  0.36811,  1.97990
24, validation, -3.07059,  0.35019,  1.96415
25, train, -3.04822,  0.36836,  1.97664
25, validation, -3.06792,  0.35350,  1.96608
