checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,1507.3306744017405,1507.3306744017405,1507.3306744017405,0.0,
1,A_1,0,0,1507.3306744017405,414.6429780033841,414.6429780033841,0.0,1092.6876963983564
1,B_1,1,1,130.99531502862024,130.99531502862024,130.99531502862024,0.0,
2,A_1,0,0,1507.3306744017405,49.42787695265289,49.42787695265289,0.0,1457.9027974490875
2,B_1,1,1,130.99531502862024,24.51056775953009,24.51056775953009,0.0,106.48474726909015
2,C_1,2,2,95.46094250672904,95.46094250672904,95.46094250672904,0.0,
3,A_1,0,0,1507.3306744017405,33.29829888808315,33.29829888808315,0.0,1474.0323755136574
3,B_1,1,1,130.99531502862024,17.378775604621193,17.378775604621193,0.0,113.61653942399904
3,C_1,2,2,95.46094250672904,77.28304040630607,77.28304040630607,0.0,18.17790210042297
4,A_1,0,0,1507.3306744017405,54.25252296350012,33.29829888808315,20.954224075416967,1453.0781514382404
4,B_1,1,1,130.99531502862024,25.891001483457206,17.378775604621193,8.512225878836013,105.10431354516304
4,B_prime_1,4,4,87.0559995442864,87.0559995442864,87.0559995442864,0.0,
4,C_1,2,2,95.46094250672904,141.50849341514996,77.28304040630607,64.22545300884389,-46.04755090842092
5,A_1,0,0,1507.3306744017405,4.581139431502296,4.581139431502296,0.0,1502.749534970238
5,A_2,5,5,4.720023551954408,4.720023551954408,4.720023551954408,0.0,
5,B_1,1,1,130.99531502862024,8.078317456095661,8.078317456095661,0.0,122.91699757252458
5,B_prime_1,4,4,87.0559995442864,11.909022335569567,11.909022335569567,0.0,75.14697720871683
5,C_1,2,2,95.46094250672904,10.237898235228146,10.237898235228146,0.0,85.2230442715009
6,A_1,0,0,1507.3306744017405,5.20177971847051,4.581139431502296,0.6206402869682135,1502.12889468327
6,A_2,5,5,4.720023551954408,7.400579326771281,4.720023551954408,2.680555774816873,-2.680555774816873
6,B_1,1,1,130.99531502862024,7.4117949363911535,7.4117949363911535,0.0,123.5835200922291
6,B_prime_1,4,4,87.0559995442864,68.85846520701351,11.909022335569567,56.94944287144394,18.197534337272884
6,C_1,2,2,95.46094250672904,15.337265284542426,10.237898235228146,5.09936704931428,80.12367722218661
7,A_1,0,0,1507.3306744017405,4.672307926184433,4.581139431502296,0.09116849468213672,1502.658366475556
7,A_2,5,5,4.720023551954408,5.78304797021028,4.720023551954408,1.0630244182558721,-1.0630244182558721
7,A_merge,7,7,4.387621112898285,4.387621112898285,4.387621112898285,0.0,
7,B_1,1,1,130.99531502862024,7.419995392292016,7.4117949363911535,0.00820045590086238,123.57531963632823
7,B_prime_1,4,4,87.0559995442864,51.94777736896366,11.909022335569567,40.0387550333941,35.10822217532273
7,C_1,2,2,95.46094250672904,11.446797495834401,10.237898235228146,1.2088992606062554,84.01414501089464
8,A_1,0,0,1507.3306744017405,4.656712433149021,4.581139431502296,0.07557300164672487,1502.6739619685914
8,A_2,5,5,4.720023551954408,5.930319959270018,4.720023551954408,1.2102964073156102,-1.2102964073156102
8,A_merge,7,7,4.387621112898285,4.341741584329045,4.341741584329045,0.0,0.04587952856924016
8,B_1,1,1,130.99531502862024,7.454452525623352,7.4117949363911535,0.04265758923219831,123.54086250299689
8,B_prime_1,4,4,87.0559995442864,41.68156405017332,11.909022335569567,29.772541714603754,45.37443549411307
8,C_1,2,2,95.46094250672904,10.309654175211485,10.237898235228146,0.07175593998333873,85.15128833151755
9,A_1,0,0,1507.3306744017405,4.694276923570825,4.581139431502296,0.11313749206852819,1502.6363974781696
9,A_2,5,5,4.720023551954408,5.325794471457439,4.720023551954408,0.6057709195030307,-0.6057709195030307
9,A_merge,7,7,4.387621112898285,4.505937643612133,4.341741584329045,0.16419605928308822,-0.11831653071384807
9,B_1,1,1,130.99531502862024,7.130982528170702,7.130982528170702,0.0,123.86433250044954
9,B_prime_1,4,4,87.0559995442864,22.664530586974063,11.909022335569567,10.755508251404496,64.39146895731233
9,C_1,2,2,95.46094250672904,8.69820789140605,8.69820789140605,0.0,86.76273461532298
9,E_1,9,9,4.811199049757583,4.811199049757583,4.811199049757583,0.0,
