accuracy,anchor,evaluation,evaluation_scope,nll_per_event,num_events,task,time_rmse
0.21521425132402502,,pre_update,,9066.180067404912,0,0,29.435063543605285
0.26095329802599904,,post_update,,1312.542850264805,0,0,14.999349508443906
0.2627507855934252,A_1,frozen_anchor,persistent,1507.3306744017405,0,0,14.758908725027275
0.07504195636538001,B_1,frozen_anchor,persistent,683.2524499520499,0,0,13.11537290637471
0.23122276339400155,C_1,frozen_anchor,persistent,1404.815688285055,0,0,10.984227326851759
0.07841262251972268,B_prime_1,frozen_anchor,persistent,853.197376284963,0,0,13.945565535732257
0.23137155847436222,A_2,frozen_anchor,persistent,1019.3823882293508,0,0,13.140450107301517
0.23628895868567287,X_transient,frozen_anchor,diagnostic_only,485.9949565112346,0,0,11.410000010322706
0.2566176470588235,A_merge,frozen_anchor,persistent,763.8086856617647,0,0,14.335694344988706
0.15837891596220785,E_1,frozen_anchor,persistent,831.8400515912481,0,0,10.904835699519534
0.08414396887159534,,pre_update,,825.4499027237354,0,1,14.629558075334058
0.08511673151750973,,scratch_pre,,9208.970817120622,0,1,30.615382036125222
0.17558365758754862,,post_update,,21.529367172300585,0,1,10.151488894506649
0.05100314237370075,A_1,frozen_anchor,persistent,414.6429780033841,0,1,8.387413728825859
0.17046271877247662,B_1,frozen_anchor,persistent,130.99531502862024,0,1,8.241450252391678
0.047423737503204305,C_1,frozen_anchor,persistent,377.64634068187644,0,1,8.011052979944335
0.19077217308152045,B_prime_1,frozen_anchor,persistent,201.09293569208702,0,1,6.898350271661733
0.06112654710785552,A_2,frozen_anchor,persistent,224.78085730298056,0,1,8.97425093934468
0.05266972698719497,X_transient,frozen_anchor,diagnostic_only,92.22370501064569,0,1,6.128212894505358
0.05,A_merge,frozen_anchor,persistent,46.45686753216912,0,1,8.919486852436316
0.1469418199900547,E_1,frozen_anchor,persistent,102.23967058133391,0,1,7.473812253982715
0.050129198966408266,,pre_update,,122.81841892764858,0,2,7.394837114911481
