checkpoint_task,A_1,A_2,A_merge,B_1,B_prime_1,C_1,E_1
0,1507.3306744017405,1019.3823882293508,763.8086856617647,683.2524499520499,853.197376284963,1404.815688285055,831.8400515912481
1,414.6429780033841,224.78085730298056,46.45686753216912,130.99531502862024,201.09293569208702,377.64634068187644,102.23967058133391
2,49.42787695265289,91.17144974267492,4.784701717601103,24.51056775953009,30.515614260847478,95.46094250672904,6.894180882101566
3,33.29829888808315,81.09826946908942,4.606816789215686,17.378775604621193,30.15356707954817,77.28304040630607,6.136150343035181
4,54.25252296350012,93.8215902453271,5.405056583180147,25.891001483457206,87.0559995442864,141.50849341514996,44.81983344534746
5,4.581139431502296,4.720023551954408,4.535537779564951,8.078317456095661,11.909022335569567,10.237898235228146,5.244832619809796
6,5.20177971847051,7.400579326771281,4.365837785309436,7.4117949363911535,68.85846520701351,15.337265284542426,17.906772516782695
7,4.672307926184433,5.78304797021028,4.387621112898285,7.419995392292016,51.94777736896366,11.446797495834401,8.05667316089632
8,4.656712433149021,5.930319959270018,4.341741584329045,7.454452525623352,41.68156405017332,10.309654175211485,7.01772866422178
9,4.694276923570825,5.325794471457439,4.505937643612133,7.130982528170702,22.664530586974063,8.69820789140605,4.811199049757583
