checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,online_write/full,online_write,full,3.0542961999724523,0.32432432432432434,1.359693286213591,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,online_write/full,online_write,full,3.87118077340939,0.08333333333333333,1.6698408784323382,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,online_write/full,online_write,full,3.3356063143560712,0.21791187739463602,1.3493267998627434,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,online_write/full,online_write,full,3.0601247346031526,0.2516522623284189,1.0588396212732847,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,online_write/full,online_write,full,2.5555007287282656,0.3909506863243518,0.9630309389018746,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.4506940532129335,0.08918406072106262,1.2624370821972446,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,online_write/full,online_write,full,3.086706758201108,0.22058823529411764,1.249788054683194,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,3.4424160208358954,0.07096774193548387,1.2766721252215651,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,online_write/full,online_write,full,2.901160711798789,0.27245657568238213,1.1501285642350818,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,online_write/full,online_write,full,3.2501121046513686,0.20444444444444446,1.3458683727359697,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,online_write/full,online_write,full,3.049360863316206,0.3254320987654321,1.2375121151324775,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,online_write/full,online_write,full,3.0574108607417756,0.22147327876745307,1.0433328886196684,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,online_write/full,online_write,full,2.7461197294279587,0.365912373615792,1.047137728476602,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,online_write/full,online_write,full,3.4348534448749053,0.08947108255066732,1.261865510341025,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,online_write/full,online_write,full,3.104154355809262,0.26940187839841817,1.2574966646564247,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,3.1040405343711233,0.26157517899761334,1.214228462716809,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,online_write/full,online_write,full,3.0816804408035763,0.2763723150357995,1.1985941320150948,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.4148708168076234,0.12432697014194811,1.2645269810307336,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_7/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,online_write/full,online_write,full,3.0579639787398682,0.3000489476260401,1.1798001063902823,2043
