Epoch,Split,Log-likelihood,RMSE,Accuracy,NumEvents,RMSE NumEvents,LearningRate
1,train,-5.073640884891633,4.059300194754208,0.16129032258064516,31,31,0.001
1,valid,-5.073640884891633,4.039675920147376,0.1935483870967742,31,31,0.001
2,train,-4.969557239163306,4.0343499251956825,0.22580645161290322,31,31,0.001
2,valid,-4.969557239163306,4.098246067036832,0.1935483870967742,31,31,0.001
3,train,-4.855513049710181,3.983178979250866,0.2903225806451613,31,31,0.001
3,valid,-4.855513049710181,4.037337259060379,0.1935483870967742,31,31,0.001
4,train,-4.7455055482925905,3.927046204786907,0.22580645161290322,31,31,0.001
4,valid,-4.7455055482925905,3.9782882379702555,0.16129032258064516,31,31,0.001
5,train,-4.63593021515877,3.8704938618999307,0.1935483870967742,31,31,0.001
5,valid,-4.63593021515877,4.002952347522361,0.12903225806451613,31,31,0.001
6,train,-4.512005221459173,3.774701282309015,0.25806451612903225,31,31,0.001
6,valid,-4.512005221459173,4.050839393130329,0.16129032258064516,31,31,0.001
7,train,-4.420050836378528,3.741902853003472,0.22580645161290322,31,31,0.001
7,valid,-4.420050836378528,3.9863374011830794,0.1935483870967742,31,31,0.001
8,train,-4.3577068698021675,3.6784024481597335,0.22580645161290322,31,31,0.001
8,valid,-4.3577068698021675,3.936163437630213,0.1935483870967742,31,31,0.001
9,train,-4.2903358705582155,3.6492524140416225,0.1935483870967742,31,31,0.001
9,valid,-4.2903358705582155,3.9096799457533358,0.1935483870967742,31,31,0.001
10,train,-4.245584795551915,3.6621385583514607,0.1935483870967742,31,31,0.001
10,valid,-4.245584795551915,3.9007671955202188,0.22580645161290322,31,31,0.001
11,train,-4.2082416165259575,3.680533476010204,0.1935483870967742,31,31,0.001
11,valid,-4.2082416165259575,3.9009579828432877,0.22580645161290322,31,31,0.001
12,train,-4.1571827550088205,3.582056740090295,0.1935483870967742,31,31,0.001
12,valid,-4.1571827550088205,3.915207094529861,0.22580645161290322,31,31,0.001
13,train,-4.1034412999306955,3.632352338181768,0.1935483870967742,31,31,0.001
13,valid,-4.1034412999306955,3.9422968852691476,0.22580645161290322,31,31,0.001
14,train,-4.0667345600743445,3.6605973861224195,0.22580645161290322,31,31,0.001
14,valid,-4.0667345600743445,3.951395995444524,0.22580645161290322,31,31,0.001
15,train,-4.03161128874748,3.652953052613638,0.22580645161290322,31,31,0.001
15,valid,-4.03161128874748,3.9658172445235906,0.1935483870967742,31,31,0.001
16,train,-4.001506190146169,3.6584297205786673,0.22580645161290322,31,31,0.001
16,valid,-4.001506190146169,3.9863539470001417,0.22580645161290322,31,31,0.001
17,train,-3.9753216158959175,3.685964490946111,0.22580645161290322,31,31,0.001
17,valid,-3.9753216158959175,4.015442235116947,0.22580645161290322,31,31,0.001
18,train,-3.9522518034904235,3.628447695450002,0.22580645161290322,31,31,0.001
18,valid,-3.9522518034904235,4.046953936714577,0.22580645161290322,31,31,0.001
19,train,-3.931970903950353,3.6527777445056864,0.22580645161290322,31,31,0.001
19,valid,-3.931970903950353,4.078820399012959,0.22580645161290322,31,31,0.001
20,train,-3.9134112942603325,3.6754604577675574,0.22580645161290322,31,31,0.001
20,valid,-3.9134112942603325,4.107384021475712,0.22580645161290322,31,31,0.001
21,train,-3.8959732055664062,3.6965760942307826,0.22580645161290322,31,31,0.001
21,valid,-3.8959732055664062,4.133110239900011,0.22580645161290322,31,31,0.001
22,train,-3.8792205318327873,3.594680832509808,0.22580645161290322,31,31,0.001
22,valid,-3.8792205318327873,4.155355767629236,0.22580645161290322,31,31,0.001
23,train,-3.8630193894909275,3.6096751430941643,0.22580645161290322,31,31,0.001
23,valid,-3.8630193894909275,4.173746531474686,0.22580645161290322,31,31,0.001
24,train,-3.8475873393397175,3.62250749655898,0.22580645161290322,31,31,0.001
24,valid,-3.8475873393397175,4.188246813295227,0.22580645161290322,31,31,0.001
25,train,-3.8335379323651715,3.6329280733003357,0.22580645161290322,31,31,0.001
25,valid,-3.8335379323651715,4.198000280366434,0.22580645161290322,31,31,0.001
