Epoch,Split,Log-likelihood,RMSE,Accuracy,NumEvents,RMSE NumEvents,LearningRate
1,train,-10.519140284607245,4.074500488810722,0.2367733100958546,8033,8033,0.001
1,valid,-4.4615545435077975,4.10620125714482,0.21880907372400757,2116,2116,0.001
2,train,-6.474940042247604,4.081067730093649,0.2331632017926055,8033,8033,0.001
2,valid,-4.443557825791588,3.292551033560624,0.22258979206049148,2116,2116,0.001
3,train,-5.178343556462405,4.238289888885925,0.24000995891945723,8033,8033,0.001
3,valid,-4.505418629637287,3.455456355414284,0.21975425330812853,2116,2116,0.001
4,train,-4.942739373910743,3.8524674369706498,0.24374455371592182,8033,8033,0.001
4,valid,-4.498032106568998,3.1950100217167567,0.23062381852551986,2116,2116,0.001
5,train,-4.801404655016806,3.7398957194727784,0.2528320677206523,8033,8033,0.001
5,valid,-4.484090246189745,3.079101735512656,0.23156899810964082,2116,2116,0.001
6,train,-4.76375320455465,3.7074980877404915,0.24996887837669612,8033,8033,0.001
6,valid,-4.473011615370983,3.056188884057693,0.2381852551984877,2116,2116,0.001
7,train,-4.746914704383481,3.7464163509107395,0.2500933648699116,8033,8033,0.001
7,valid,-4.465219421963611,3.0920311633626167,0.23724007561436672,2116,2116,0.001
8,train,-4.743580314211689,3.757207940323665,0.24822606747167933,8033,8033,0.0003
8,valid,-4.463942875708884,3.1065484921985216,0.23582230623818526,2116,2116,0.0003
9,train,-4.740871395727001,3.7662000564097804,0.24598531059380058,8033,8033,0.0003
9,valid,-4.46313845773275,3.1082956782254563,0.23676748582230625,2116,2116,0.0003
10,train,-4.738656654581103,3.787201265571464,0.24362006722270635,8033,8033,0.0003
10,valid,-4.46268109788516,3.119133198005467,0.23534971644612476,2116,2116,0.0003
11,train,-4.736510478261546,3.7871597280528726,0.2447404456616457,8033,8033,0.0003
11,valid,-4.46257679584121,3.1195413987028124,0.23109640831758035,2116,2116,0.0003
12,train,-4.734639898504606,3.784778584140985,0.24436698618199926,8033,8033,0.0003
12,valid,-4.4625029536862,3.115055656812219,0.22826086956521738,2116,2116,0.0003
13,train,-4.734084936745301,3.784293148570936,0.24548736462093862,8033,8033,8.999999999999999e-05
13,valid,-4.46251864514414,3.114139326757166,0.22920604914933837,2116,2116,8.999999999999999e-05
14,train,-4.733541767163575,3.7818939987942413,0.24511390514129217,8033,8033,8.999999999999999e-05
14,valid,-4.4625107994151705,3.1167572055739545,0.22920604914933837,2116,2116,8.999999999999999e-05
15,train,-4.732997503462281,3.7795443721978312,0.24511390514129217,8033,8033,8.999999999999999e-05
15,valid,-4.4625209527114835,3.1206500324640936,0.22873345935727787,2116,2116,8.999999999999999e-05
16,train,-4.732483753540085,3.778849674177381,0.24461595916843024,8033,8033,8.999999999999999e-05
16,valid,-4.4625158760633274,3.1280263583088694,0.2273156899810964,2116,2116,8.999999999999999e-05
17,train,-4.73189937212125,3.781264065790156,0.24561185111415412,8033,8033,8.999999999999999e-05
17,valid,-4.462604948162808,3.1279118640670576,0.2277882797731569,2116,2116,8.999999999999999e-05
