checkpoint_task,variant,current_nll_per_event,current_accuracy,clnll,average_forgetting,average_bwt
0,frozen/full,3.0543139165133986,0.32432432432432434,3.0240386276408566,0.0,
1,frozen/full,3.2967866042564653,0.24760536398467434,3.274802604154118,0.17555744141177088,-0.35111488282354175
2,frozen/full,2.5545505704040994,0.39501779359430605,3.147222401828467,0.23243375669082203,-0.34865063503623306
3,frozen/full,3.02089878639641,0.32685009487666034,3.1702712297048325,0.272129802361701,-0.25548258456718714
4,frozen/full,2.9108338613959757,0.2665012406947891,3.1023442878998395,0.19006351271923938,-0.20851200822840163
5,frozen/full,2.9879607212396317,0.38271604938271603,3.155577419628314,0.21910662791230387,-0.2321469865279404
6,frozen/full,2.777778456517579,0.34328358208955223,3.1879723753615794,0.25150158364556957,-0.21811254495561805
7,frozen/full,3.065890622857886,0.3035096391497776,3.1150323479634814,0.1680911275079814,-0.16832031431962619
8,frozen/full,3.0556157587820705,0.31742243436754175,3.11139512388224,0.16581782707765202,-0.13662970451844805
9,frozen/full,3.2110809087169794,0.19138521781693588,3.1062793676179647,0.1406235270229162,-0.13487265896753162
