checkpoint_task,checkpoint,eval_name,eval_kind,eval_task,regime_id,stage_label,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae,events
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,task_00_test,task_test,0,A_1,A_1_initial,frozen/full,frozen,full,3.0543139165133986,0.32432432432432434,1.2008669388808588,2109
0,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_00_best.pt,task_01_test_pre,task_test_pre,1,B_1,B_1_novel,frozen/full,frozen,full,3.880080891751695,0.08237547892720307,1.4928689788584508,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_01_best.pt,task_01_test,task_test,1,B_1,B_1_novel,frozen/full,frozen,full,3.2967866042564653,0.24760536398467434,1.2691465629928413,2088
1,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_01_best.pt,task_02_test_pre,task_test_pre,2,C_1,C_1_novel,frozen/full,frozen,full,3.090546236101237,0.18962887646161666,0.9802461400150828,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_02_best.pt,task_02_test,task_test,2,C_1,C_1_novel,frozen/full,frozen,full,2.5545505704040994,0.39501779359430605,0.8922748061443381,1967
2,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_02_best.pt,task_03_test_pre,task_test_pre,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.4432893713239925,0.08918406072106262,1.2045812172500638,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_03_best.pt,task_03_test,task_test,3,A_1,A_1_exact_recurrence,frozen/full,frozen,full,3.02089878639641,0.32685009487666034,1.1653985633343402,2108
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_03_best.pt,task_04_test_pre,task_test_pre,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,3.4568684693897334,0.07245657568238213,1.2569610122415622,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_04_best.pt,task_04_test,task_test,4,B_prime_1,B_prime_1_near_recurrence,frozen/full,frozen,full,2.9108338613959757,0.2665012406947891,1.078129639164094,2015
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_04_best.pt,task_05_test_pre,task_test_pre,5,A_2,A_2_specialization,frozen/full,frozen,full,3.2962020836347414,0.2582716049382716,1.2444038108543114,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_05_best.pt,task_05_test,task_test,5,A_2,A_2_specialization,frozen/full,frozen,full,2.9879607212396317,0.38271604938271603,1.1687745365095727,2025
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_05_best.pt,task_06_test_pre,task_test_pre,6,,C_1_with_transient_X,frozen/full,frozen,full,3.1983502258976664,0.12325469427058257,0.9975571308677794,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_06_best.pt,task_06_test,task_test,6,,C_1_with_transient_X,frozen/full,frozen,full,2.777778456517579,0.34328358208955223,0.9658720928370292,2077
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_06_best.pt,task_07_test_pre,task_test_pre,7,A_merge,A_merge,frozen/full,frozen,full,3.251478201790252,0.14384577360355907,1.1524026034435775,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_07_best.pt,task_07_test,task_test,7,A_merge,A_merge,frozen/full,frozen,full,3.065890622857886,0.3035096391497776,1.1429086120424445,2023
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_07_best.pt,task_08_test_pre,task_test_pre,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.062922810483946,0.3093078758949881,1.1241419753482063,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_08_best.pt,task_08_test,task_test,8,A_1,A_1_long_gap_recurrence,frozen/full,frozen,full,3.0556157587820705,0.31742243436754175,1.1218076373626054,2095
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_08_best.pt,task_09_test_pre,task_test_pre,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.389052792034252,0.12041116005873716,1.1499137729041669,2043
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_37/checkpoint/task_09_best.pt,task_09_test,task_test,9,,E_1_B_1_mixture,frozen/full,frozen,full,3.2110809087169794,0.19138521781693588,1.121829751304593,2043
