Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -5.41877,  0.33333,  6.43082
1, validation, -4.82236,  0.33333,  6.06846
2, train, -4.85192,  0.33333,  6.06848
2, validation, -4.61764,  0.33333,  5.81655
3, train, -4.62784,  0.33333,  5.83562
3, validation, -4.49611,  0.66667,  5.61130
4, train, -4.48270,  0.66667,  5.59194
4, validation, -4.40419,  0.66667,  5.44850
5, train, -4.45325,  0.66667,  5.46507
5, validation, -4.32691,  0.66667,  5.30985
6, train, -4.36738,  0.33333,  5.33981
6, validation, -4.25678,  0.33333,  5.19264
7, train, -4.22617,  0.33333,  5.19721
7, validation, -4.19236,  0.33333,  5.09351
8, train, -4.22064,  0.66667,  5.11720
8, validation, -4.13123,  0.33333,  5.01279
9, train, -4.15844,  0.33333,  5.05879
9, validation, -4.07257,  0.66667,  4.94649
10, train, -4.08586,  0.66667,  4.95581
10, validation, -4.01419,  1.00000,  4.89279
11, train, -4.06404,  0.66667,  4.90818
11, validation, -3.95501,  1.00000,  4.84799
12, train, -3.91819,  1.00000,  4.86280
12, validation, -3.89522,  1.00000,  4.80670
13, train, -3.89270,  0.66667,  4.81812
13, validation, -3.83721,  1.00000,  4.76911
14, train, -3.88384,  1.00000,  4.81195
14, validation, -3.77693,  1.00000,  4.72696
15, train, -3.81767,  1.00000,  4.84449
15, validation, -3.71696,  1.00000,  4.67564
16, train, -3.73268,  0.66667,  4.61829
16, validation, -3.65655,  1.00000,  4.61392
17, train, -3.69332,  1.00000,  4.66122
17, validation, -3.59787,  1.00000,  4.54238
18, train, -3.64118,  1.00000,  4.56376
18, validation, -3.53821,  1.00000,  4.44974
19, train, -3.59640,  1.00000,  4.46666
19, validation, -3.47951,  1.00000,  4.33595
20, train, -3.52375,  1.00000,  4.41281
20, validation, -3.42140,  1.00000,  4.19892
21, train, -3.47416,  1.00000,  4.13883
21, validation, -3.39270,  1.00000,  4.12667
22, train, -3.45776,  1.00000,  4.16355
22, validation, -3.36325,  1.00000,  4.05076
23, train, -3.36033,  1.00000,  3.99340
23, validation, -3.33233,  1.00000,  3.97418
24, train, -3.39608,  1.00000,  4.08411
24, validation, -3.29973,  1.00000,  3.89440
25, train, -3.42947,  1.00000,  3.92818
25, validation, -3.26598,  1.00000,  3.81812
