regime_id,first_task,return_task,shift_type,first_pre_nll,first_post_nll,return_pre_nll,first_gain_nll,rrr,status
A_1,0,3,exact_recurrence,8.73305,3.42641,3.57897,5.30664,0.9712511118146323,available
A_1,0,8,long_gap_recurrence,8.73305,3.42641,3.21428,5.30664,1.0399744471077745,available
