protocol,task_id,K,pre_nll,adapted_nll,gain_nll
baseline,1,0,4.07909,4.07909,0.0
baseline,1,1,4.07909,4.07909,0.0
baseline,1,2,4.07909,4.0304,0.04868999999999968
baseline,1,4,4.07909,3.82155,0.2575400000000001
baseline,1,8,4.07909,3.79369,0.2854000000000001
baseline,1,16,4.07909,3.7423,0.3367899999999997
baseline,1,32,4.07909,3.76708,0.3120099999999999
baseline,2,0,3.27125,3.27125,0.0
baseline,2,1,3.27125,3.27125,0.0
baseline,2,2,3.27125,3.55462,-0.2833699999999997
baseline,2,4,3.27125,3.43194,-0.16068999999999978
baseline,2,8,3.27125,3.40891,-0.1376599999999999
baseline,2,16,3.27125,3.24703,0.02422000000000013
baseline,2,32,3.27125,3.22346,0.04779
baseline,3,0,3.4034,3.4034,0.0
baseline,3,1,3.4034,3.4034,0.0
baseline,3,2,3.4034,3.43862,-0.03521999999999981
baseline,3,4,3.4034,3.71625,-0.3128500000000001
baseline,3,8,3.4034,3.48823,-0.08483000000000018
baseline,3,16,3.4034,3.27845,0.12495000000000012
baseline,3,32,3.4034,3.26756,0.13583999999999996
baseline,4,0,3.93497,3.93497,0.0
baseline,4,1,3.93497,3.93497,0.0
baseline,4,2,3.93497,4.02332,-0.08835000000000015
baseline,4,4,3.93497,4.48185,-0.5468799999999998
baseline,4,8,3.93497,3.7831,0.15186999999999973
baseline,4,16,3.93497,3.54606,0.38890999999999964
baseline,4,32,3.93497,3.50854,0.42642999999999986
baseline,5,0,3.98039,3.98039,0.0
baseline,5,1,3.98039,3.98039,0.0
baseline,5,2,3.98039,4.14951,-0.16912000000000038
baseline,5,4,3.98039,4.2635,-0.28310999999999975
baseline,5,8,3.98039,4.39186,-0.41147000000000045
baseline,5,16,3.98039,4.29298,-0.31259000000000015
baseline,5,32,3.98039,3.9725,0.00788999999999973
baseline,6,0,3.24125,3.24125,0.0
baseline,6,1,3.24125,3.24125,0.0
baseline,6,2,3.24125,3.34329,-0.10204000000000013
baseline,6,4,3.24125,3.16053,0.0807199999999999
baseline,6,8,3.24125,3.09927,0.14197999999999977
baseline,6,16,3.24125,3.10124,0.14000999999999975
baseline,6,32,3.24125,3.12833,0.11291999999999991
baseline,7,0,3.51359,3.51359,0.0
baseline,7,1,3.51359,3.51359,0.0
baseline,7,2,3.51359,3.56476,-0.05116999999999994
baseline,7,4,3.51359,3.53499,-0.021399999999999864
baseline,7,8,3.51359,3.69948,-0.18588999999999967
baseline,7,16,3.51359,3.71263,-0.19903999999999966
baseline,7,32,3.51359,3.62536,-0.11176999999999992
baseline,8,0,3.15748,3.15748,0.0
baseline,8,1,3.15748,3.15748,0.0
baseline,8,2,3.15748,3.20285,-0.04537000000000013
baseline,8,4,3.15748,3.38144,-0.22395999999999994
baseline,8,8,3.15748,3.32367,-0.16618999999999984
baseline,8,16,3.15748,3.35272,-0.19524000000000008
baseline,8,32,3.15748,3.41293,-0.25544999999999973
baseline,9,0,3.54859,3.54859,0.0
baseline,9,1,3.54859,3.54859,0.0
baseline,9,2,3.54859,3.74207,-0.1934800000000001
baseline,9,4,3.54859,3.51568,0.03290999999999977
baseline,9,8,3.54859,3.53892,0.009669999999999845
baseline,9,16,3.54859,3.38716,0.16142999999999974
baseline,9,32,3.54859,3.37748,0.1711100000000001
