checkpoint_task,regime_id,first_seen_task,baseline_checkpoint_task,baseline_nll_per_event,current_nll_per_event,best_nll_since_first_seen,forgetting_nll,bwt_nll
0,A_1,0,0,3.41922,3.41922,3.41922,0.0,
1,A_1,0,0,3.41922,3.85751,3.41922,0.43828999999999985,-0.43828999999999985
1,B_1,1,1,3.38181,3.38181,3.38181,0.0,
2,A_1,0,0,3.41922,3.57061,3.41922,0.1513899999999997,-0.1513899999999997
2,B_1,1,1,3.38181,3.70439,3.38181,0.32257999999999987,-0.32257999999999987
2,C_1,2,2,3.00376,3.00376,3.00376,0.0,
3,A_1,0,0,3.41922,3.2874,3.2874,0.0,0.13182000000000027
3,B_1,1,1,3.38181,3.96491,3.38181,0.5831,-0.5831
3,C_1,2,2,3.00376,3.29261,3.00376,0.2888499999999996,-0.2888499999999996
4,A_1,0,0,3.41922,3.86567,3.2874,0.5782700000000003,-0.44645
4,B_1,1,1,3.38181,3.33365,3.33365,0.0,0.0481600000000002
4,B_prime_1,4,4,3.35377,3.35377,3.35377,0.0,
4,C_1,2,2,3.00376,3.28056,3.00376,0.2767999999999997,-0.2767999999999997
5,A_1,0,0,3.41922,3.27989,3.27989,0.0,0.13933000000000018
5,A_2,5,5,3.34666,3.34666,3.34666,0.0,
5,B_1,1,1,3.38181,3.91078,3.33365,0.5771299999999999,-0.5289699999999997
5,B_prime_1,4,4,3.35377,3.90224,3.35377,0.54847,-0.54847
5,C_1,2,2,3.00376,3.32094,3.00376,0.3171799999999996,-0.3171799999999996
6,A_1,0,0,3.41922,3.44521,3.27989,0.1653199999999999,-0.025989999999999736
6,A_2,5,5,3.34666,3.54325,3.34666,0.19659000000000004,-0.19659000000000004
6,B_1,1,1,3.38181,3.58804,3.33365,0.2543899999999999,-0.2062299999999997
6,B_prime_1,4,4,3.35377,3.61205,3.35377,0.25828000000000007,-0.25828000000000007
6,C_1,2,2,3.00376,2.94086,2.94086,0.0,0.0629000000000004
7,A_1,0,0,3.41922,3.15813,3.15813,0.0,0.26109000000000027
7,A_2,5,5,3.34666,3.24757,3.24757,0.0,0.0990899999999999
7,A_merge,7,7,3.13931,3.13931,3.13931,0.0,
7,B_1,1,1,3.38181,3.86032,3.33365,0.5266700000000002,-0.47851
7,B_prime_1,4,4,3.35377,3.85651,3.35377,0.5027400000000002,-0.5027400000000002
7,C_1,2,2,3.00376,3.25432,2.94086,0.31346000000000007,-0.25055999999999967
8,A_1,0,0,3.41922,3.12125,3.12125,0.0,0.2979700000000003
8,A_2,5,5,3.34666,3.21906,3.21906,0.0,0.12760000000000016
8,A_merge,7,7,3.13931,3.11246,3.11246,0.0,0.02685000000000004
8,B_1,1,1,3.38181,3.82484,3.33365,0.49119,-0.4430299999999998
8,B_prime_1,4,4,3.35377,3.82611,3.35377,0.47234,-0.47234
8,C_1,2,2,3.00376,3.30302,2.94086,0.36216000000000026,-0.29925999999999986
9,A_1,0,0,3.41922,3.42097,3.12125,0.2997200000000002,-0.0017499999999999183
9,A_2,5,5,3.34666,3.48732,3.21906,0.26826000000000016,-0.14066
9,A_merge,7,7,3.13931,3.39264,3.11246,0.2801800000000001,-0.25333000000000006
9,B_1,1,1,3.38181,3.40604,3.33365,0.07238999999999995,-0.024229999999999752
9,B_prime_1,4,4,3.35377,3.41181,3.35377,0.05804000000000009,-0.05804000000000009
9,C_1,2,2,3.00376,3.21031,2.94086,0.2694500000000004,-0.20655
9,E_1,9,9,3.18807,3.18807,3.18807,0.0,
