checkpoint_task,seen_law_count,clnll,average_forgetting,average_bwt,bwt_law_count
0,1,3.41922,0.0,,0
1,2,3.61966,0.21914499999999992,-0.43828999999999985,1
2,3,3.4262533333333334,0.15798999999999985,-0.23698499999999978,2
3,3,3.5149733333333333,0.29064999999999985,-0.24670999999999976,3
4,4,3.4584125,0.2137675,-0.22502999999999984,3
5,5,3.552102,0.2885559999999999,-0.3138224999999998,4
6,5,3.425882,0.174916,-0.12483799999999982,5
7,6,3.4193599999999997,0.22381166666666674,-0.17432599999999993,5
8,6,3.401123333333333,0.22094833333333339,-0.12703499999999987,6
9,7,3.359594285714286,0.1782914285714287,-0.11409333333333331,6
