Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.46621,  0.26667,  1.53709
1, validation, -3.29762,  0.26667,  1.50985
2, train, -3.28050,  0.40000,  1.54382
2, validation, -3.20869,  0.46667,  1.46326
3, train, -3.20365,  0.46667,  1.44389
3, validation, -3.13820,  0.53333,  1.42957
4, train, -3.11275,  0.40000,  1.42220
4, validation, -3.08141,  0.46667,  1.40136
5, train, -3.10131,  0.46667,  1.41375
5, validation, -3.03226,  0.53333,  1.38030
6, train, -3.07235,  0.40000,  1.40359
6, validation, -2.98519,  0.53333,  1.36119
7, train, -3.00977,  0.46667,  1.40227
7, validation, -2.93833,  0.60000,  1.34381
8, train, -2.95007,  0.53333,  1.33611
8, validation, -2.89478,  0.46667,  1.32952
9, train, -2.91507,  0.53333,  1.34241
9, validation, -2.85823,  0.53333,  1.31680
10, train, -2.87514,  0.46667,  1.30760
10, validation, -2.81920,  0.53333,  1.30492
11, train, -2.81376,  0.60000,  1.28584
11, validation, -2.77720,  0.60000,  1.29396
12, train, -2.79137,  0.66667,  1.31479
12, validation, -2.73603,  0.66667,  1.28100
13, train, -2.77181,  0.66667,  1.30065
13, validation, -2.69582,  0.73333,  1.26474
14, train, -2.71567,  0.60000,  1.27422
14, validation, -2.66200,  0.73333,  1.24926
15, train, -2.70925,  0.66667,  1.25154
15, validation, -2.62808,  0.66667,  1.23599
16, train, -2.68356,  0.73333,  1.23921
16, validation, -2.59473,  0.66667,  1.22444
17, train, -2.62754,  0.73333,  1.22115
17, validation, -2.56224,  0.66667,  1.21595
18, train, -2.58534,  0.60000,  1.22221
18, validation, -2.53024,  0.66667,  1.20559
19, train, -2.58112,  0.66667,  1.20830
19, validation, -2.49911,  0.73333,  1.19761
20, train, -2.52692,  0.80000,  1.19330
20, validation, -2.47087,  0.73333,  1.18648
21, train, -2.50345,  0.73333,  1.22304
21, validation, -2.45611,  0.80000,  1.18313
22, train, -2.56373,  0.73333,  1.23327
22, validation, -2.44128,  0.80000,  1.17823
23, train, -2.48539,  0.80000,  1.17930
23, validation, -2.42629,  0.80000,  1.17397
24, train, -2.48625,  0.80000,  1.24646
24, validation, -2.41239,  0.80000,  1.16669
25, train, -2.43977,  0.80000,  1.23506
25, validation, -2.40013,  0.80000,  1.15677
