average_bwt,average_forgetting,bwt_law_count,checkpoint_task,clnll,current_accuracy,current_local_time_mae,current_nll_per_event,leaf_count,memory_rows,node_count,seen_law_count,variant
,0.0,0,0,3.0240386276408566,0.32432432432432434,1.2008669388808588,3.0543139165133986,1,12,1,1,frozen/full
-0.35111488282354175,0.17555744141177088,1,1,3.274802604154118,0.24760536398467434,1.2691465629928413,3.2967866042564653,1,36,1,2,frozen/full
-0.34865063503623306,0.23243375669082203,2,2,3.147222401828467,0.39501779359430605,0.8922748061443381,2.5545505704040994,1,60,1,3,frozen/full
-0.25548258456718714,0.272129802361701,3,3,3.1702712297048325,0.32685009487666034,1.1653985633343402,3.02089878639641,1,108,1,3,frozen/full
-0.20851200822840163,0.19006351271923938,3,4,3.1023442878998395,0.2665012406947891,1.078129639164094,2.9108338613959757,1,12,1,4,frozen/full
-0.2321469865279404,0.21910662791230387,4,5,3.155577419628314,0.38271604938271603,1.1687745365095727,2.9879607212396317,1,48,1,5,frozen/full
-0.21811254495561805,0.25150158364556957,5,6,3.1879723753615794,0.34328358208955223,0.9658720928370292,2.777778456517579,1,60,1,5,frozen/full
-0.16832031431962619,0.1680911275079814,5,7,3.1150323479634814,0.3035096391497776,1.1429086120424445,3.065890622857886,1,72,1,6,frozen/full
-0.13662970451844805,0.16581782707765202,6,8,3.11139512388224,0.31742243436754175,1.1218076373626054,3.0556157587820705,1,72,1,6,frozen/full
-0.13487265896753162,0.1406235270229162,6,9,3.1062793676179647,0.19138521781693588,1.121829751304593,3.2110809087169794,1,72,1,7,frozen/full
