Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.29247,  0.18855,  1.93611
1, validation, -3.02770,  0.21857,  1.67785
2, train, -3.07837,  0.24203,  1.87684
2, validation, -2.89916,  0.25967,  1.65451
3, train, -2.98863,  0.27952,  1.85036
3, validation, -2.83409,  0.32060,  1.64914
4, train, -2.93895,  0.29901,  1.83522
4, validation, -2.79786,  0.33994,  1.66271
5, train, -2.90586,  0.32650,  1.83355
5, validation, -2.77189,  0.36074,  1.65984
6, train, -2.87348,  0.34387,  1.82519
6, validation, -2.74104,  0.37041,  1.64533
7, train, -2.85664,  0.34625,  1.82582
7, validation, -2.72407,  0.37621,  1.64025
8, train, -2.84376,  0.34525,  1.82177
8, validation, -2.71517,  0.38104,  1.64031
9, train, -2.83164,  0.34699,  1.82005
9, validation, -2.70533,  0.37427,  1.63862
10, train, -2.82068,  0.34699,  1.81445
10, validation, -2.70503,  0.38153,  1.64272
11, train, -2.80900,  0.34862,  1.81084
11, validation, -2.70062,  0.38056,  1.64105
12, train, -2.79887,  0.35699,  1.80877
12, validation, -2.70237,  0.38250,  1.64803
13, train, -2.79457,  0.35299,  1.80656
13, validation, -2.69786,  0.38395,  1.64451
14, train, -2.78567,  0.35737,  1.80386
14, validation, -2.69580,  0.38540,  1.64697
15, train, -2.77567,  0.35899,  1.80068
15, validation, -2.69711,  0.38491,  1.64987
16, train, -2.77231,  0.36186,  1.80104
16, validation, -2.69425,  0.38201,  1.64879
17, train, -2.76206,  0.36349,  1.79785
17, validation, -2.69597,  0.38250,  1.65233
18, train, -2.75697,  0.36311,  1.79469
18, validation, -2.69463,  0.38491,  1.65033
19, train, -2.74851,  0.36474,  1.79285
19, validation, -2.69348,  0.38878,  1.65175
20, train, -2.74249,  0.36774,  1.78996
20, validation, -2.69181,  0.38395,  1.64722
21, train, -2.73484,  0.36699,  1.78570
21, validation, -2.69482,  0.38443,  1.65270
22, train, -2.72999,  0.36849,  1.78194
22, validation, -2.69620,  0.38636,  1.65815
23, train, -2.72566,  0.37411,  1.78324
23, validation, -2.69609,  0.38685,  1.65874
24, train, -2.72755,  0.37099,  1.78432
24, validation, -2.70068,  0.38346,  1.66392
25, train, -2.71913,  0.37486,  1.78120
25, validation, -2.69707,  0.38878,  1.65619
