Epoch, Split, Log-likelihood, Accuracy, RMSE
1, train, -3.46145,  0.21959,  2.07968
1, validation, -3.42722,  0.24244,  2.05121
2, train, -3.41541,  0.25594,  2.07524
2, validation, -3.38274,  0.24244,  2.03315
3, train, -3.37548,  0.25532,  2.06680
3, validation, -3.34690,  0.24669,  2.02445
4, train, -3.34726,  0.24984,  2.06423
4, validation, -3.31837,  0.25000,  2.02144
5, train, -3.32362,  0.25445,  2.06157
5, validation, -3.29633,  0.24244,  2.02330
6, train, -3.30857,  0.25719,  2.05992
6, validation, -3.28002,  0.24669,  2.02426
7, train, -3.29544,  0.25682,  2.05714
7, validation, -3.26611,  0.24197,  2.01645
8, train, -3.28702,  0.25993,  2.05715
8, validation, -3.25773,  0.26276,  2.01780
9, train, -3.27736,  0.26491,  2.05341
9, validation, -3.24961,  0.26607,  2.01802
10, train, -3.26931,  0.26715,  2.05130
10, validation, -3.24037,  0.26418,  2.01617
11, train, -3.26096,  0.27126,  2.04983
11, validation, -3.23206,  0.26701,  2.01732
12, train, -3.25317,  0.27723,  2.04911
12, validation, -3.22393,  0.27316,  2.01490
13, train, -3.24742,  0.27648,  2.04695
13, validation, -3.21695,  0.27316,  2.01324
14, train, -3.23923,  0.27375,  2.04442
14, validation, -3.21130,  0.27316,  2.01373
15, train, -3.23218,  0.27935,  2.04204
15, validation, -3.20490,  0.27174,  2.00962
16, train, -3.22651,  0.28109,  2.04082
16, validation, -3.19851,  0.27174,  2.00509
17, train, -3.21747,  0.28196,  2.03719
17, validation, -3.19460,  0.27363,  2.00824
18, train, -3.21230,  0.28121,  2.03569
18, validation, -3.18960,  0.27977,  2.00506
19, train, -3.20766,  0.28308,  2.03510
19, validation, -3.18701,  0.28166,  2.00404
20, train, -3.20382,  0.28022,  2.03349
20, validation, -3.18354,  0.27221,  2.00382
