Epoch,Split,Log-likelihood,Accuracy,RMSE,num_events,SelectionMetric
1,train,-3.8622734315933718,,,31,validation_loglike
1,valid,-3.6186439760269655,,,31,validation_loglike
2,train,-3.560216596049647,,,31,validation_loglike
2,valid,-3.4899289531092488,,,31,validation_loglike
3,train,-3.493830034809728,,,31,validation_loglike
3,valid,-3.452299056514617,,,31,validation_loglike
4,train,-3.4320560578377015,,,31,validation_loglike
4,valid,-3.3707952191752772,,,31,validation_loglike
5,train,-3.365871798607611,,,31,validation_loglike
5,valid,-3.287630142704133,,,31,validation_loglike
6,train,-3.2988773469002015,,,31,validation_loglike
6,valid,-3.221900693831905,,,31,validation_loglike
7,train,-3.25377925749748,,,31,validation_loglike
7,valid,-3.1576737434633317,,,31,validation_loglike
8,train,-3.26709722703503,,,31,validation_loglike
8,valid,-3.1502619097309728,,,31,validation_loglike
9,train,-3.1094232374621975,,,31,validation_loglike
9,valid,-3.0004087878811743,,,31,validation_loglike
10,train,-3.0638897803521927,,,31,validation_loglike
10,valid,-2.9307132844002015,,,31,validation_loglike
11,train,-2.9806114935105845,,,31,validation_loglike
11,valid,-2.8854185535061743,,,31,validation_loglike
12,train,-2.8910077002740677,,,31,validation_loglike
12,valid,-2.8615899855090725,,,31,validation_loglike
13,train,-2.8411326254567792,,,31,validation_loglike
13,valid,-2.8232114238123738,,,31,validation_loglike
14,train,-2.925988966418851,,,31,validation_loglike
14,valid,-2.751343265656502,,,31,validation_loglike
15,train,-2.816012967017389,,,31,validation_loglike
15,valid,-2.735496767105595,,,31,validation_loglike
16,train,-2.7893794890372985,,,31,validation_loglike
16,valid,-2.6802284486832155,,,31,validation_loglike
17,train,-2.5807827365013862,,,31,validation_loglike
17,valid,-2.525239513766381,,,31,validation_loglike
18,train,-2.607730004095262,,,31,validation_loglike
18,valid,-2.4773402060231855,,,31,validation_loglike
19,train,-2.6172665011498237,,,31,validation_loglike
19,valid,-2.7440739293252268,,,31,validation_loglike
20,train,-2.545560775264617,,,31,validation_loglike
20,valid,-2.8962855185231855,,,31,validation_loglike
21,train,-2.755461169827369,,,31,validation_loglike
21,valid,-3.0152900449691282,,,31,validation_loglike
22,train,-2.927466115643901,,,31,validation_loglike
22,valid,-2.4523207141507055,,,31,validation_loglike
23,train,-2.4113971341040825,,,31,validation_loglike
23,valid,-2.1761954522901967,,,31,validation_loglike
24,train,-2.495607437626008,,,31,validation_loglike
24,valid,-3.0208038822297127,,,31,validation_loglike
25,train,-2.911107709330897,,,31,validation_loglike
25,valid,-3.5095692296181955,,,31,validation_loglike
26,train,-3.591642810452369,,,31,validation_loglike
26,valid,-2.299536428143901,,,31,validation_loglike
27,train,-2.495508993825605,,,31,validation_loglike
27,valid,-2.1932254914314515,,,31,validation_loglike
28,train,-2.437655048985635,,,31,validation_loglike
28,valid,-2.859493624779486,,,31,validation_loglike
29,train,-2.5963951849168345,,,31,validation_loglike
29,valid,-2.7722106441374748,,,31,validation_loglike
30,train,-2.851260769751764,,,31,validation_loglike
30,valid,-2.8974998228011595,,,31,validation_loglike
31,train,-2.979854952904486,,,31,validation_loglike
31,valid,-3.2116005189957155,,,31,validation_loglike
32,train,-3.0776509931010585,,,31,validation_loglike
32,valid,-3.3790531773721018,,,31,validation_loglike
33,train,-3.2131195068359375,,,31,validation_loglike
33,valid,-3.3175806845388105,,,31,validation_loglike
34,train,-3.150109075730847,,,31,validation_loglike
34,valid,-3.3714195989793345,,,31,validation_loglike
35,train,-3.1838605326990925,,,31,validation_loglike
35,valid,-3.4107314079038558,,,31,validation_loglike
36,train,-3.24981689453125,,,31,validation_loglike
36,valid,-3.1891393353862147,,,31,validation_loglike
37,train,-3.1267860166488157,,,31,validation_loglike
37,valid,-2.913153371503276,,,31,validation_loglike
38,train,-2.93694822249874,,,31,validation_loglike
38,valid,-2.8172875681231098,,,31,validation_loglike
39,train,-2.663355181294103,,,31,validation_loglike
39,valid,-2.7261195028981855,,,31,validation_loglike
40,train,-2.7382354736328125,,,31,validation_loglike
40,valid,-2.6876324069115425,,,31,validation_loglike
41,train,-2.6527815788022933,,,31,validation_loglike
41,valid,-2.505956342143397,,,31,validation_loglike
42,train,-2.5377869144562752,,,31,validation_loglike
42,valid,-2.406226373487903,,,31,validation_loglike
43,train,-2.5522052395728325,,,31,validation_loglike
43,valid,-2.4054474369172127,,,31,validation_loglike
44,train,-2.6225553943264868,,,31,validation_loglike
44,valid,-2.2340186334425405,,,31,validation_loglike
45,train,-2.2508087158203125,,,31,validation_loglike
45,valid,-2.323391329857611,,,31,validation_loglike
46,train,-2.4392938921528478,,,31,validation_loglike
46,valid,-2.619726365612399,,,31,validation_loglike
47,train,-2.5964827998991935,,,31,validation_loglike
47,valid,-2.520716513356855,,,31,validation_loglike
48,train,-2.5717692221364667,,,31,validation_loglike
48,valid,-2.601222868888609,,,31,validation_loglike
