checkpoint_task,checkpoint,eval_name,regime_id,variant,protocol,memory_view,nll_per_event,accuracy,local_time_mae
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.066102265400999,0.23238416988416988,1.1843854883707283
3,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_03_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.2512397144866876,0.21683798335780716,1.0920956734516825
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.135406606907583,0.2161390145203523,1.3265014546336968
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.212145981818895,0.19220779220779222,1.3275440058500507
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.7965533047355478,0.2244640605296343,1.0625177565468815
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.1688112077113106,0.17965622792559455,1.3229409051984058
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.2614138066757534,0.19811086254039273,1.3472245178821332
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.2189328240555524,0.1670235546038544,1.2331508256882995
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.1297194932760046,0.2179054054054054,1.252936071762995
4,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_04_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.197933493219444,0.19676945668135096,1.1495679601638547
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,2.940615635635267,0.3777671982861224,1.280717927667028
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.3819246766066184,0.1693034238488784,1.4032560497203483
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,3.1163800291820403,0.0978562421185372,1.0523239662337573
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.3266821284840913,0.17965622792559455,1.3985920038490027
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.063560065311703,0.35719612229679343,1.3054870390306612
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.0847560505544696,0.3014513442778967,1.1897804599605206
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,2.941177629234636,0.35859073359073357,1.2088134384652938
5,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_05_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.3422298996608544,0.10205580029368576,1.130003090460096
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.217450702945123,0.16139014520352296,1.2949255860522142
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.420955172638544,0.11050767414403778,1.2326548527163115
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.589916922841667,0.36116015132408574,0.9728909589453574
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.361459732289865,0.09795149517306334,1.2382314645077603
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.3306190483633213,0.14740243599304,1.3202743242394523
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.229126317342803,0.16226504877468476,1.1928801482461142
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.2111213907507756,0.16457528957528958,1.2200493848735185
6,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_06_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.319158282398091,0.10841899167890358,1.1050528900007655
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.0991419784776144,0.263508688407522,1.2707755135738514
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.3984511142497644,0.0781582054309327,1.2589032322412452
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.7483254312040826,0.2907944514501892,1.0112199508377162
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.348445876271466,0.08523663762655992,1.2581437341890807
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.2016322891561955,0.24384787472035793,1.2759592535033017
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.132307963146643,0.23269093504639543,1.1625001205667869
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.085112829827506,0.26037644787644787,1.1990308493275095
7,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_07_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.2274271083947377,0.18159569260890845,1.1010002886436103
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.0500077154000538,0.27493453939538204,1.2656177186418898
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.42115629306228,0.07579693034238488,1.2733266236858691
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.756102670727751,0.2905422446406053,1.0076318052497517
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.3661984259699946,0.08712032022604191,1.2736681885776104
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.1617033134931996,0.26174496644295303,1.277690145926258
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.1156436991785896,0.23292886033785393,1.1650227283104562
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.0387532506812307,0.2738899613899614,1.1943299550649398
8,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_08_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,3.240150614876375,0.1776798825256975,1.101432470194503
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_1,A_1,online_write/full,online_write,full,3.1708461595976303,0.201142585098786,1.2618366661764215
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_B_1,B_1,online_write/full,online_write,full,3.2602818609884947,0.20188902007083825,1.250612836498921
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_C_1,C_1,online_write/full,online_write,full,2.846606919993406,0.21790668348045397,1.0112914386192458
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_B_prime_1,B_prime_1,online_write/full,online_write,full,3.205342998408432,0.20955968919237108,1.2436288507268876
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_2,A_2,online_write/full,online_write,full,3.2839567752262395,0.18419090231170768,1.274090427872448
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_X_transient,X_transient,online_write/full,online_write,full,3.1750333640407997,0.19438496312157982,1.132940795637207
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_A_merge,A_merge,online_write/full,online_write,full,3.1572550654610887,0.2039092664092664,1.1882376447104235
9,/home/xinye/Benchmark/Evaluation/results/continual/HM/full/seed_17/checkpoint/task_09_best.pt,anchor_E_1,E_1,online_write/full,online_write,full,2.9540504054405705,0.2261380323054332,1.035354446518548
