adaptation_gain_nll,fwt_eligible,fwt_nll,fwt_status,new_persistent_regimes,post_checkpoint_task,post_nll_per_event,pre_checkpoint_task,pre_nll_per_event,recurrence_of,regime_id,scratch_nll_per_event,shift_type,stage_label,task_id,variant
,False,,excluded_not_unseen_law_task,"[""A_1""]",0,3.0547027660241453,,,,A_1,3.5199756142990237,initial,A_1_initial,0,frozen/full
0.5766679756486099,True,-0.3033155974757169,available,"[""B_1""]",1,3.30223230383862,0,3.87890027948723,,B_1,3.575584682011513,novel,B_1_novel,1,frozen/full
0.5053485274981533,True,0.05308849216416567,available,"[""C_1""]",2,2.5819512325067717,1,3.087299760004925,,C_1,3.1403882521690907,novel,C_1_novel,2,frozen/full
0.29411103829486995,False,,excluded_not_unseen_law_task,[],3,3.1159493013848842,2,3.410060339679754,A_1,A_1,3.4786471270972004,exact_recurrence,A_1_exact_recurrence,3,frozen/full
0.31805664895485997,True,-0.007070873629662078,available,"[""B_prime_1""]",4,3.0494140625,3,3.36747071145486,B_1,B_prime_1,3.360399837825198,near_recurrence,B_prime_1_near_recurrence,4,frozen/full
0.2021024539146894,True,0.3052774801372009,available,"[""A_2""]",5,2.985290922941985,4,3.1873933768566745,A_1,A_2,3.4926708569938754,specialization,A_2_specialization,5,frozen/full
0.4404504708963688,False,,excluded_not_unseen_law_task,[],6,2.783086256046506,5,3.223536726942875,C_1,,3.258611533064422,transient_anomaly,C_1_with_transient_X,6,frozen/full
0.12225420994742109,True,0.2110976230019812,available,"[""A_merge""]",7,3.142654833791283,6,3.264909043738704,A_1|A_2,A_merge,3.4760066667406853,merge,A_merge,7,frozen/full
0.03905880730021227,False,,excluded_not_unseen_law_task,[],8,3.0982478977103223,7,3.1373067050105345,A_1,A_1,3.4597259011644166,long_gap_recurrence,A_1_long_gap_recurrence,8,frozen/full
0.23943619767766489,True,0.05030830969602729,available,"[""E_1""]",9,3.134136974840729,8,3.3735731725183937,,,3.423881482214421,mixture,E_1_B_1_mixture,9,frozen/full
